params,sharpe,win_rate,profit_factor,max_drawdown,total_trades,final_equity
"{'rsi_long_thresh': 50, 'rsi_short_thresh': 30, 'trailing_atr_mult': 0.3, 'trailing_enable_atr_mult': 0.5}",0,0.6532258064516129,0,0,0,0
"{'rsi_long_thresh': 50, 'rsi_short_thresh': 30, 'trailing_atr_mult': 0.3, 'trailing_enable_atr_mult': 1.0}",0,0.5258620689655172,0,0,0,0
"{'rsi_long_thresh': 50, 'rsi_short_thresh': 30, 'trailing_atr_mult': 0.3, 'trailing_enable_atr_mult': 1.5}",0,0.43103448275862066,0,0,0,0
"{'rsi_long_thresh': 50, 'rsi_short_thresh': 30, 'trailing_atr_mult': 0.3, 'trailing_enable_atr_mult': 2.0}",0,0.34545454545454546,0,0,0,0
"{'rsi_long_thresh': 50, 'rsi_short_thresh': 30, 'trailing_atr_mult': 0.5, 'trailing_enable_atr_mult': 0.5}",0,0.6557377049180327,0,0,0,0
"{'rsi_long_thresh': 50, 'rsi_short_thresh': 30, 'trailing_atr_mult': 0.5, 'trailing_enable_atr_mult': 1.0}",0,0.5258620689655172,0,0,0,0
"{'rsi_long_thresh': 50, 'rsi_short_thresh': 30, 'trailing_atr_mult': 0.5, 'trailing_enable_atr_mult': 1.5}",0,0.43103448275862066,0,0,0,0
"{'rsi_long_thresh': 50, 'rsi_short_thresh': 30, 'trailing_atr_mult': 0.5, 'trailing_enable_atr_mult': 2.0}",0,0.34545454545454546,0,0,0,0
"{'rsi_long_thresh': 50, 'rsi_short_thresh': 30, 'trailing_atr_mult': 0.7, 'trailing_enable_atr_mult': 0.5}",0,0.4918032786885246,0,0,0,0
"{'rsi_long_thresh': 50, 'rsi_short_thresh': 30, 'trailing_atr_mult': 0.7, 'trailing_enable_atr_mult': 1.0}",0,0.5258620689655172,0,0,0,0
