window,train_rows,test_rows,train_start,train_end,test_start,test_end,run_id,summary_path,sharpe,ann_return,ann_vol,max_drawdown,sortino,calmar,final_equity,trades,data_hash,data_path,param_fingerprint,equity_path,status
0,3000,1000,2020-11-19T21:00:00+00:00,2021-05-18T05:00:00+00:00,2021-05-18T06:00:00+00:00,2021-07-15T05:00:00+00:00,20251119_161220,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_audusd_h1_xgb_baseline_20251119_161220/20251119_161220/summary.json,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0,005cf3ea1bfbef527d8d3beab598198c7e93cfe232cbdb9d2e10cdbe21b98618,results/walkforward_fx_top6/walkforward_audusd_h1_xgb_baseline_20251119_161220/walkforward/window_000_test.csv,8018d2ee5a35c59ae75a9b40f263b677219b01d6cf2a0afdb064fa6344c1d65a,results/walkforward_fx_top6/walkforward_audusd_h1_xgb_baseline_20251119_161220/walkforward/window_000_equity.csv,fail
1,3000,1000,2021-01-20T13:00:00+00:00,2021-07-15T05:00:00+00:00,2021-07-15T06:00:00+00:00,2021-09-13T06:00:00+00:00,20251119_161221,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_audusd_h1_xgb_baseline_20251119_161220/20251119_161221/summary.json,3.4278571234489466,0.01837508175123337,0.005360515648547579,-0.0006651851037499728,0.5870747967326004,27.624012696081245,1003009.771897107,2,5835e8102ad0de16a60495868b5a6345ec49f9537bdbf32a1cb0b9dc48dcbaac,results/walkforward_fx_top6/walkforward_audusd_h1_xgb_baseline_20251119_161220/walkforward/window_001_test.csv,8018d2ee5a35c59ae75a9b40f263b677219b01d6cf2a0afdb064fa6344c1d65a,results/walkforward_fx_top6/walkforward_audusd_h1_xgb_baseline_20251119_161220/walkforward/window_001_equity.csv,pass
2,3000,1000,2021-03-19T05:00:00+00:00,2021-09-13T06:00:00+00:00,2021-09-13T07:00:00+00:00,2021-11-10T06:00:00+00:00,20251119_161222,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_audusd_h1_xgb_baseline_20251119_161220/20251119_161222/summary.json,0.38704747756763325,0.0018264868056316885,0.004719025213935222,-0.0010138525432215487,0.036393206828603836,1.8015310193215757,1000299.6289324998,2,70d4b0cd6c917014b42e5fd5ecb549f1ac58504c748b8ba2d16b87e40c40cee7,results/walkforward_fx_top6/walkforward_audusd_h1_xgb_baseline_20251119_161220/walkforward/window_002_test.csv,8018d2ee5a35c59ae75a9b40f263b677219b01d6cf2a0afdb064fa6344c1d65a,results/walkforward_fx_top6/walkforward_audusd_h1_xgb_baseline_20251119_161220/walkforward/window_002_equity.csv,fail
3,3000,1000,2021-05-18T06:00:00+00:00,2021-11-10T06:00:00+00:00,2021-11-10T07:00:00+00:00,2022-01-07T00:00:00+00:00,20251119_161222,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_audusd_h1_xgb_baseline_20251119_161220/20251119_161222/summary.json,1.9895025556724757,0.012429429846800621,0.00624750634843961,-0.0014700143227543338,0.33610063435009274,8.455312070369402,1002039.2773049998,4,2cdb929af9287fc6f58a38d48696df5f62617e5f7bb350dcea5e18ea1faecb84,results/walkforward_fx_top6/walkforward_audusd_h1_xgb_baseline_20251119_161220/walkforward/window_003_test.csv,8018d2ee5a35c59ae75a9b40f263b677219b01d6cf2a0afdb064fa6344c1d65a,results/walkforward_fx_top6/walkforward_audusd_h1_xgb_baseline_20251119_161220/walkforward/window_003_equity.csv,pass
4,3000,1000,2021-07-15T06:00:00+00:00,2022-01-07T00:00:00+00:00,2022-01-07T01:00:00+00:00,2022-03-07T16:00:00+00:00,20251119_161222,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_audusd_h1_xgb_baseline_20251119_161220/20251119_161222/summary.json,1.4801559397764694,0.013597708433010558,0.009186672881955979,-0.0031993607896364756,0.17191673517964418,4.250132863119694,1002226.4249503571,4,6d2d362d60c08d8f44c94fc8d697c443055ffd1e86558e323c44f203fa4f7587,results/walkforward_fx_top6/walkforward_audusd_h1_xgb_baseline_20251119_161220/walkforward/window_004_test.csv,8018d2ee5a35c59ae75a9b40f263b677219b01d6cf2a0afdb064fa6344c1d65a,results/walkforward_fx_top6/walkforward_audusd_h1_xgb_baseline_20251119_161220/walkforward/window_004_equity.csv,pass
5,3000,1000,2021-09-13T07:00:00+00:00,2022-03-07T16:00:00+00:00,2022-03-07T17:00:00+00:00,2022-05-04T15:00:00+00:00,20251119_161223,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_audusd_h1_xgb_baseline_20251119_161220/20251119_161223/summary.json,0.9961334691938528,0.009833736655844083,0.009871906687165418,-0.004091755016933669,0.12176696591834477,2.4033053335664785,1001609.6412399998,2,b66a21b6f19ce5c1ae5bba684202f014de8892ae3c4d46000c6036636bcadbd5,results/walkforward_fx_top6/walkforward_audusd_h1_xgb_baseline_20251119_161220/walkforward/window_005_test.csv,8018d2ee5a35c59ae75a9b40f263b677219b01d6cf2a0afdb064fa6344c1d65a,results/walkforward_fx_top6/walkforward_audusd_h1_xgb_baseline_20251119_161220/walkforward/window_005_equity.csv,fail
6,3000,1000,2021-11-10T07:00:00+00:00,2022-05-04T15:00:00+00:00,2022-05-04T16:00:00+00:00,2022-07-01T15:00:00+00:00,20251119_161223,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_audusd_h1_xgb_baseline_20251119_161220/20251119_161223/summary.json,1.1826561316711808,0.009389256724516182,0.00793912657540486,-0.0016281198039037972,0.13278394401998173,5.766932324023851,1001539.6528624999,2,bfb39bdb52760142d82fe6c9b9ab8ea72701f267d6a320dfa41b9da251fdd4f8,results/walkforward_fx_top6/walkforward_audusd_h1_xgb_baseline_20251119_161220/walkforward/window_006_test.csv,8018d2ee5a35c59ae75a9b40f263b677219b01d6cf2a0afdb064fa6344c1d65a,results/walkforward_fx_top6/walkforward_audusd_h1_xgb_baseline_20251119_161220/walkforward/window_006_equity.csv,pass
7,3000,1000,2022-01-07T01:00:00+00:00,2022-07-01T15:00:00+00:00,2022-07-01T16:00:00+00:00,2022-08-30T17:00:00+00:00,20251119_161223,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_audusd_h1_xgb_baseline_20251119_161220/20251119_161223/summary.json,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0,539876479fea2330ac94a2cb259a353320a2207570403075170728e1cfc6fd32,results/walkforward_fx_top6/walkforward_audusd_h1_xgb_baseline_20251119_161220/walkforward/window_007_test.csv,8018d2ee5a35c59ae75a9b40f263b677219b01d6cf2a0afdb064fa6344c1d65a,results/walkforward_fx_top6/walkforward_audusd_h1_xgb_baseline_20251119_161220/walkforward/window_007_equity.csv,fail
8,3000,1000,2022-03-07T17:00:00+00:00,2022-08-30T17:00:00+00:00,2022-08-30T18:00:00+00:00,2022-10-27T17:00:00+00:00,20251119_161224,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_audusd_h1_xgb_baseline_20251119_161220/20251119_161224/summary.json,5.222549722547657,0.14872100040951763,0.02847670358549861,-0.00467692650789119,2.2872573694759755,31.798874786376626,1023097.7503724993,14,b730fc79dce1aa7d88b93c84d0df5a2ff4445c9a9f161166527d4db7f407feab,results/walkforward_fx_top6/walkforward_audusd_h1_xgb_baseline_20251119_161220/walkforward/window_008_test.csv,8018d2ee5a35c59ae75a9b40f263b677219b01d6cf2a0afdb064fa6344c1d65a,results/walkforward_fx_top6/walkforward_audusd_h1_xgb_baseline_20251119_161220/walkforward/window_008_equity.csv,pass
9,3000,1000,2022-05-04T16:00:00+00:00,2022-10-27T17:00:00+00:00,2022-10-27T18:00:00+00:00,2022-12-27T11:00:00+00:00,20251119_161224,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_audusd_h1_xgb_baseline_20251119_161220/20251119_161224/summary.json,3.368037103392942,0.056837309798981384,0.016875499899251047,-0.0034671348119724734,0.5874460585713922,16.393164062359116,1009149.3383924996,4,ee98d981d8e1707aff0f5092aa515d78191591ed0481dbfcd7b9e99c7324c5c5,results/walkforward_fx_top6/walkforward_audusd_h1_xgb_baseline_20251119_161220/walkforward/window_009_test.csv,8018d2ee5a35c59ae75a9b40f263b677219b01d6cf2a0afdb064fa6344c1d65a,results/walkforward_fx_top6/walkforward_audusd_h1_xgb_baseline_20251119_161220/walkforward/window_009_equity.csv,pass
10,3000,1000,2022-07-01T16:00:00+00:00,2022-12-27T11:00:00+00:00,2022-12-27T12:00:00+00:00,2023-02-23T04:00:00+00:00,20251119_161224,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_audusd_h1_xgb_baseline_20251119_161220/20251119_161224/summary.json,7.795247699779836,0.16309270396747655,0.02092206819445684,-0.0023873623667568142,3.1771984447660966,68.31501838115797,1025232.6227614996,8,a8ab373159a79f6a6359d35d5a54f80399e005297d0e1d2eab87e65ae0a2b355,results/walkforward_fx_top6/walkforward_audusd_h1_xgb_baseline_20251119_161220/walkforward/window_010_test.csv,8018d2ee5a35c59ae75a9b40f263b677219b01d6cf2a0afdb064fa6344c1d65a,results/walkforward_fx_top6/walkforward_audusd_h1_xgb_baseline_20251119_161220/walkforward/window_010_equity.csv,pass
