window,train_rows,test_rows,train_start,train_end,test_start,test_end,run_id,summary_path,sharpe,ann_return,ann_vol,max_drawdown,sortino,calmar,final_equity,trades,data_hash,data_path,param_fingerprint,equity_path,status
0,3000,1000,2020-11-19T21:00:00+00:00,2021-05-18T05:00:00+00:00,2021-05-18T06:00:00+00:00,2021-07-15T05:00:00+00:00,20251119_161143,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_eurusd_h1_xgb_baseline_20251119_161143/20251119_161143/summary.json,0.9499990490622503,0.01155301485135829,0.012161080437672373,-0.004763458801477279,0.26089429367282085,2.4253416126482263,1001886.9405043594,14,cea6379ef51a6e7ab0d9249349b00ed616e71bdcd804358aaa01fdd9e2e6548b,results/walkforward_fx_top6/walkforward_eurusd_h1_xgb_baseline_20251119_161143/walkforward/window_000_test.csv,22111a69f6ed37ebfd4381a22a4d3b2b265da680356dfd01a8aa8f53250d37e4,results/walkforward_fx_top6/walkforward_eurusd_h1_xgb_baseline_20251119_161143/walkforward/window_000_equity.csv,fail
1,3000,1000,2021-01-20T13:00:00+00:00,2021-07-15T05:00:00+00:00,2021-07-15T06:00:00+00:00,2021-09-13T06:00:00+00:00,20251119_161144,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_eurusd_h1_xgb_baseline_20251119_161143/20251119_161144/summary.json,4.448212135737616,0.04793180701491262,0.010775521839397263,-0.001779910143221227,1.8738161321249946,26.929340898168658,1007753.7484799657,12,828cf2e3d5abac2c2e0004683ae70345ad40bbfa58247b7539696f27aaa0a3ff,results/walkforward_fx_top6/walkforward_eurusd_h1_xgb_baseline_20251119_161143/walkforward/window_001_test.csv,22111a69f6ed37ebfd4381a22a4d3b2b265da680356dfd01a8aa8f53250d37e4,results/walkforward_fx_top6/walkforward_eurusd_h1_xgb_baseline_20251119_161143/walkforward/window_001_equity.csv,pass
2,3000,1000,2021-03-19T05:00:00+00:00,2021-09-13T06:00:00+00:00,2021-09-13T07:00:00+00:00,2021-11-10T06:00:00+00:00,20251119_161144,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_eurusd_h1_xgb_baseline_20251119_161143/20251119_161144/summary.json,2.349699081591874,0.019921813609877548,0.008478453162768792,-0.001534461291699459,0.6303434598830289,12.982936563889194,1003257.672730001,8,cb84942065f19a6f07eeb07ae5016f3380aa73ca503a57f2d76d252ca0d14d0c,results/walkforward_fx_top6/walkforward_eurusd_h1_xgb_baseline_20251119_161143/walkforward/window_002_test.csv,22111a69f6ed37ebfd4381a22a4d3b2b265da680356dfd01a8aa8f53250d37e4,results/walkforward_fx_top6/walkforward_eurusd_h1_xgb_baseline_20251119_161143/walkforward/window_002_equity.csv,pass
3,3000,1000,2021-05-18T06:00:00+00:00,2021-11-10T06:00:00+00:00,2021-11-10T07:00:00+00:00,2022-01-07T00:00:00+00:00,20251119_161144,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_eurusd_h1_xgb_baseline_20251119_161143/20251119_161144/summary.json,4.069352478173624,0.07553130272521025,0.01856101262555404,-0.005669688424303784,1.4694928086759829,13.321949474584258,1012071.3235186082,10,c0106b35fd0d3b44020cea84fe9713c33b1fbe8369cd25433966c9071b810207,results/walkforward_fx_top6/walkforward_eurusd_h1_xgb_baseline_20251119_161143/walkforward/window_003_test.csv,22111a69f6ed37ebfd4381a22a4d3b2b265da680356dfd01a8aa8f53250d37e4,results/walkforward_fx_top6/walkforward_eurusd_h1_xgb_baseline_20251119_161143/walkforward/window_003_equity.csv,pass
4,3000,1000,2021-07-15T06:00:00+00:00,2022-01-07T00:00:00+00:00,2022-01-07T01:00:00+00:00,2022-03-07T16:00:00+00:00,20251119_161145,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_eurusd_h1_xgb_baseline_20251119_161143/20251119_161145/summary.json,-0.09533624608029066,-0.0025863347019499106,0.027128556118852645,-0.009610011539951389,-0.02841498174591001,-0.26912919835713256,999511.691481376,10,6a9f9068edf14fa6ce4bd75d2be512b894072a210fcc5ec54bad03365947f7bf,results/walkforward_fx_top6/walkforward_eurusd_h1_xgb_baseline_20251119_161143/walkforward/window_004_test.csv,22111a69f6ed37ebfd4381a22a4d3b2b265da680356dfd01a8aa8f53250d37e4,results/walkforward_fx_top6/walkforward_eurusd_h1_xgb_baseline_20251119_161143/walkforward/window_004_equity.csv,fail
5,3000,1000,2021-09-13T07:00:00+00:00,2022-03-07T16:00:00+00:00,2022-03-07T17:00:00+00:00,2022-05-04T15:00:00+00:00,20251119_161145,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_eurusd_h1_xgb_baseline_20251119_161143/20251119_161145/summary.json,-0.3781352481083077,-0.0031166016722734557,0.008242028977369443,-0.0037089304363384576,-0.05958794724990594,-0.8402966099709968,999478.9320350004,4,b47e8aafda46b251ef513ff0a0c9c2abbc0caac9257ef1812b6e003d829e888e,results/walkforward_fx_top6/walkforward_eurusd_h1_xgb_baseline_20251119_161143/walkforward/window_005_test.csv,22111a69f6ed37ebfd4381a22a4d3b2b265da680356dfd01a8aa8f53250d37e4,results/walkforward_fx_top6/walkforward_eurusd_h1_xgb_baseline_20251119_161143/walkforward/window_005_equity.csv,fail
6,3000,1000,2021-11-10T07:00:00+00:00,2022-05-04T15:00:00+00:00,2022-05-04T16:00:00+00:00,2022-07-01T15:00:00+00:00,20251119_161147,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_eurusd_h1_xgb_baseline_20251119_161143/20251119_161147/summary.json,3.1005592026961195,0.023497116994782186,0.007578348116801012,-0.0010466515520772312,0.6342426220897127,22.44979902637966,1003838.9369200008,4,5687284388f7b68ab8d7385d6eadcc401994a992723cbbb0ca9154bbee5b07e6,results/walkforward_fx_top6/walkforward_eurusd_h1_xgb_baseline_20251119_161143/walkforward/window_006_test.csv,22111a69f6ed37ebfd4381a22a4d3b2b265da680356dfd01a8aa8f53250d37e4,results/walkforward_fx_top6/walkforward_eurusd_h1_xgb_baseline_20251119_161143/walkforward/window_006_equity.csv,pass
7,3000,1000,2022-01-07T01:00:00+00:00,2022-07-01T15:00:00+00:00,2022-07-01T16:00:00+00:00,2022-08-30T17:00:00+00:00,20251119_161147,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_eurusd_h1_xgb_baseline_20251119_161143/20251119_161147/summary.json,2.0673494693752277,0.07460617033818395,0.03608783683811844,-0.006361251958597101,0.7550817478546747,11.728221240687574,1011847.5988193587,14,4a6a08b1d8241a95742048c281dc1b24c30f49e3053347032f3cdef9b6bab567,results/walkforward_fx_top6/walkforward_eurusd_h1_xgb_baseline_20251119_161143/walkforward/window_007_test.csv,22111a69f6ed37ebfd4381a22a4d3b2b265da680356dfd01a8aa8f53250d37e4,results/walkforward_fx_top6/walkforward_eurusd_h1_xgb_baseline_20251119_161143/walkforward/window_007_equity.csv,pass
8,3000,1000,2022-03-07T17:00:00+00:00,2022-08-30T17:00:00+00:00,2022-08-30T18:00:00+00:00,2022-10-27T17:00:00+00:00,20251119_161147,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_eurusd_h1_xgb_baseline_20251119_161143/20251119_161147/summary.json,3.4525698868583032,0.14602053657960545,0.042293289162780176,-0.011162829210177026,1.5042005877582822,13.080961271581597,1022617.4983515192,32,40f7916ae158b18d197edacb330bb472b6c2eee0ac178bcdc422da110d7d770e,results/walkforward_fx_top6/walkforward_eurusd_h1_xgb_baseline_20251119_161143/walkforward/window_008_test.csv,22111a69f6ed37ebfd4381a22a4d3b2b265da680356dfd01a8aa8f53250d37e4,results/walkforward_fx_top6/walkforward_eurusd_h1_xgb_baseline_20251119_161143/walkforward/window_008_equity.csv,pass
9,3000,1000,2022-05-04T16:00:00+00:00,2022-10-27T17:00:00+00:00,2022-10-27T18:00:00+00:00,2022-12-27T11:00:00+00:00,20251119_161148,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_eurusd_h1_xgb_baseline_20251119_161143/20251119_161148/summary.json,8.320693417583314,0.4315401510525416,0.05186348413470081,-0.006057028442839044,4.90404845755485,71.24618203877388,1060813.7903278077,36,22bfabdb2bf0dec28325e3fe3b75788422e32c91754edcd13ba7ad4ba88fbc66,results/walkforward_fx_top6/walkforward_eurusd_h1_xgb_baseline_20251119_161143/walkforward/window_009_test.csv,22111a69f6ed37ebfd4381a22a4d3b2b265da680356dfd01a8aa8f53250d37e4,results/walkforward_fx_top6/walkforward_eurusd_h1_xgb_baseline_20251119_161143/walkforward/window_009_equity.csv,pass
10,3000,1000,2022-07-01T16:00:00+00:00,2022-12-27T11:00:00+00:00,2022-12-27T12:00:00+00:00,2023-02-23T04:00:00+00:00,20251119_161148,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_eurusd_h1_xgb_baseline_20251119_161143/20251119_161148/summary.json,-1.288381787255839,-0.02579166697785651,0.020018652260515815,-0.0075901098851875,-0.3597051971271667,-3.3980623954061993,995660.2540556975,10,bfc5d37029ed4d68bea0b5f3d880d527b1ee5bdbc90017f93696b551cfa7b89d,results/walkforward_fx_top6/walkforward_eurusd_h1_xgb_baseline_20251119_161143/walkforward/window_010_test.csv,22111a69f6ed37ebfd4381a22a4d3b2b265da680356dfd01a8aa8f53250d37e4,results/walkforward_fx_top6/walkforward_eurusd_h1_xgb_baseline_20251119_161143/walkforward/window_010_equity.csv,fail
11,3000,1000,2022-08-30T18:00:00+00:00,2023-02-23T04:00:00+00:00,2023-02-23T05:00:00+00:00,2023-04-24T02:00:00+00:00,20251119_161149,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_eurusd_h1_xgb_baseline_20251119_161143/20251119_161149/summary.json,6.663113300959605,0.09435732195761037,0.014161146253361963,-0.0009987844481416765,3.3498285074177225,94.4721577645409,1014988.396517501,6,c535f8b2bac9447b633aa299840df950468401ceeb875df35f48671bbb6b0671,results/walkforward_fx_top6/walkforward_eurusd_h1_xgb_baseline_20251119_161143/walkforward/window_011_test.csv,22111a69f6ed37ebfd4381a22a4d3b2b265da680356dfd01a8aa8f53250d37e4,results/walkforward_fx_top6/walkforward_eurusd_h1_xgb_baseline_20251119_161143/walkforward/window_011_equity.csv,pass
12,3000,1000,2022-10-27T18:00:00+00:00,2023-04-24T02:00:00+00:00,2023-04-24T03:00:00+00:00,2023-06-21T02:00:00+00:00,20251119_161149,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_eurusd_h1_xgb_baseline_20251119_161143/20251119_161149/summary.json,1.4412779859116198,0.010327567600536103,0.007165562578133624,-0.0024844311537952544,0.2230669530316659,4.156914384509933,1001694.3418525723,4,e8e4ca5a5875ff4a84cf350bc6d4874f27c6903d64f3a1fb5aa6232cd2330c24,results/walkforward_fx_top6/walkforward_eurusd_h1_xgb_baseline_20251119_161143/walkforward/window_012_test.csv,22111a69f6ed37ebfd4381a22a4d3b2b265da680356dfd01a8aa8f53250d37e4,results/walkforward_fx_top6/walkforward_eurusd_h1_xgb_baseline_20251119_161143/walkforward/window_012_equity.csv,pass
13,3000,1000,2022-12-27T12:00:00+00:00,2023-06-21T02:00:00+00:00,2023-06-21T03:00:00+00:00,2023-08-18T02:00:00+00:00,20251119_161149,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_eurusd_h1_xgb_baseline_20251119_161143/20251119_161149/summary.json,-1.4925351953394135,-0.010347326285713998,0.006932718449805761,-0.003240274989999831,-0.08808059021953295,-3.193348193486053,998279.4504500004,2,0b9a27e0e847e8d927679c2e16a249a96c5e31d66af5c44405edaa68969d9fb3,results/walkforward_fx_top6/walkforward_eurusd_h1_xgb_baseline_20251119_161143/walkforward/window_013_test.csv,22111a69f6ed37ebfd4381a22a4d3b2b265da680356dfd01a8aa8f53250d37e4,results/walkforward_fx_top6/walkforward_eurusd_h1_xgb_baseline_20251119_161143/walkforward/window_013_equity.csv,fail
14,3000,1000,2023-02-23T05:00:00+00:00,2023-08-18T02:00:00+00:00,2023-08-18T03:00:00+00:00,2023-10-17T03:00:00+00:00,20251119_161150,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_eurusd_h1_xgb_baseline_20251119_161143/20251119_161150/summary.json,2.141042070550556,0.017039270158967668,0.007958400441232862,-0.0012097583649631127,0.4696879494224586,14.08485417621991,1002789.4758325004,2,82332eb6b33f22cbe2429862d7a9a1b11e5c9d87a01ee4ffdf9f26f62503e9ef,results/walkforward_fx_top6/walkforward_eurusd_h1_xgb_baseline_20251119_161143/walkforward/window_014_test.csv,22111a69f6ed37ebfd4381a22a4d3b2b265da680356dfd01a8aa8f53250d37e4,results/walkforward_fx_top6/walkforward_eurusd_h1_xgb_baseline_20251119_161143/walkforward/window_014_equity.csv,pass
15,3000,1000,2023-04-24T03:00:00+00:00,2023-10-17T03:00:00+00:00,2023-10-17T04:00:00+00:00,2023-12-13T22:00:00+00:00,20251119_161150,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_eurusd_h1_xgb_baseline_20251119_161143/20251119_161150/summary.json,-3.565421782343277,-0.013776180230946511,0.0038638290423784,-0.0022899559990711277,-0.19527359112019574,-6.015914819557462,997710.0440009289,2,88c6ce51f3e11d0d8273f048e33178976527ef4a692b00831daaba843f983518,results/walkforward_fx_top6/walkforward_eurusd_h1_xgb_baseline_20251119_161143/walkforward/window_015_test.csv,22111a69f6ed37ebfd4381a22a4d3b2b265da680356dfd01a8aa8f53250d37e4,results/walkforward_fx_top6/walkforward_eurusd_h1_xgb_baseline_20251119_161143/walkforward/window_015_equity.csv,fail
16,3000,1000,2023-06-21T03:00:00+00:00,2023-12-13T22:00:00+00:00,2023-12-13T23:00:00+00:00,2024-02-13T14:00:00+00:00,20251119_161151,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_eurusd_h1_xgb_baseline_20251119_161143/20251119_161151/summary.json,2.550430171897528,0.023941437615933703,0.009387215490052487,-0.0022016077788418126,0.5589358877139704,10.874524448005193,1003908.3642075012,6,61dc06792e2fc98b6d9a292f4e7b127e706eaa57ac63cb4e448f56bb187cf1c0,results/walkforward_fx_top6/walkforward_eurusd_h1_xgb_baseline_20251119_161143/walkforward/window_016_test.csv,22111a69f6ed37ebfd4381a22a4d3b2b265da680356dfd01a8aa8f53250d37e4,results/walkforward_fx_top6/walkforward_eurusd_h1_xgb_baseline_20251119_161143/walkforward/window_016_equity.csv,pass
17,3000,1000,2023-08-18T03:00:00+00:00,2024-02-13T14:00:00+00:00,2024-02-13T15:00:00+00:00,2024-04-11T10:00:00+00:00,20251119_161151,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_eurusd_h1_xgb_baseline_20251119_161143/20251119_161151/summary.json,-4.720205048797032,-0.029207589128770306,0.0061877797313517145,-0.00492703700983934,-0.9997620795284153,-5.928023083740283,995112.4966469118,10,180d0c7015a773632c51009b1556df6dd5ed0d197d33f227dc8095efde2e6ac6,results/walkforward_fx_top6/walkforward_eurusd_h1_xgb_baseline_20251119_161143/walkforward/window_017_test.csv,22111a69f6ed37ebfd4381a22a4d3b2b265da680356dfd01a8aa8f53250d37e4,results/walkforward_fx_top6/walkforward_eurusd_h1_xgb_baseline_20251119_161143/walkforward/window_017_equity.csv,fail
18,3000,1000,2023-10-17T04:00:00+00:00,2024-04-11T10:00:00+00:00,2024-04-11T11:00:00+00:00,2024-06-10T11:00:00+00:00,20251119_161151,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_eurusd_h1_xgb_baseline_20251119_161143/20251119_161151/summary.json,-2.031363073081178,-0.009433084434154249,0.004643721528247591,-0.0028539810689973072,-0.4224748719104144,-3.3052372128972762,998433.9091595549,8,5f937c415a25e5f7d7de43b809c39cab5ca592bb81cd993ab12d738a2f75cb90,results/walkforward_fx_top6/walkforward_eurusd_h1_xgb_baseline_20251119_161143/walkforward/window_018_test.csv,22111a69f6ed37ebfd4381a22a4d3b2b265da680356dfd01a8aa8f53250d37e4,results/walkforward_fx_top6/walkforward_eurusd_h1_xgb_baseline_20251119_161143/walkforward/window_018_equity.csv,fail
19,3000,1000,2023-12-13T23:00:00+00:00,2024-06-10T11:00:00+00:00,2024-06-10T12:00:00+00:00,2024-08-07T11:00:00+00:00,20251119_161152,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_eurusd_h1_xgb_baseline_20251119_161143/20251119_161152/summary.json,-1.8786947086272319,-0.016874542332155906,0.008982056666613059,-0.004643363104865069,-0.5223456414571187,-3.6341207764854007,997186.2103775023,14,5434f31f3f1894e4e07f2cb93add0f0e6a40261cbd0bcaad2dda2d67ad7f4c07,results/walkforward_fx_top6/walkforward_eurusd_h1_xgb_baseline_20251119_161143/walkforward/window_019_test.csv,22111a69f6ed37ebfd4381a22a4d3b2b265da680356dfd01a8aa8f53250d37e4,results/walkforward_fx_top6/walkforward_eurusd_h1_xgb_baseline_20251119_161143/walkforward/window_019_equity.csv,fail
