window,train_rows,test_rows,train_start,train_end,test_start,test_end,run_id,summary_path,sharpe,ann_return,ann_vol,max_drawdown,sortino,calmar,final_equity,trades,data_hash,data_path,param_fingerprint,equity_path,status
0,3000,1000,2020-11-19T21:00:00+00:00,2021-05-18T05:00:00+00:00,2021-05-18T06:00:00+00:00,2021-07-15T05:00:00+00:00,20251119_212117,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_gbpjpy_h1_xgb_baseline_h4_ne400_20251119_212117/20251119_212117/summary.json,1.01939430329073,0.3850491850769455,0.37772350093968493,-0.1172012611258003,0.3390759869794423,3.285367250985852,1042946.5010352923,6,bbd75b7dcedd37fe4fbbc0436f1581b5007a2953071c27411f6fa2af0e28b71f,results/walkforward_fx_top6/walkforward_gbpjpy_h1_xgb_baseline_h4_ne400_20251119_212117/walkforward/window_000_test.csv,1ea3ac88ce0cd48ece21e7f4f7f066690fe064cca8ac4e7632f24df1f59b45de,results/walkforward_fx_top6/walkforward_gbpjpy_h1_xgb_baseline_h4_ne400_20251119_212117/walkforward/window_000_equity.csv,fail
1,3000,1000,2021-01-20T13:00:00+00:00,2021-07-15T05:00:00+00:00,2021-07-15T06:00:00+00:00,2021-09-13T06:00:00+00:00,20251119_212118,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_gbpjpy_h1_xgb_baseline_h4_ne400_20251119_212117/20251119_212118/summary.json,-1.2359081350360557,-0.2574362807877214,0.2082972621425549,-0.10961172181351972,-0.1661408288273767,-2.348619988158682,948544.6441305976,2,364ae07266eb09aec54a4582daaa1dd39132c220da29686a9d2c23063b9d85c3,results/walkforward_fx_top6/walkforward_gbpjpy_h1_xgb_baseline_h4_ne400_20251119_212117/walkforward/window_001_test.csv,1ea3ac88ce0cd48ece21e7f4f7f066690fe064cca8ac4e7632f24df1f59b45de,results/walkforward_fx_top6/walkforward_gbpjpy_h1_xgb_baseline_h4_ne400_20251119_212117/walkforward/window_001_equity.csv,fail
2,3000,1000,2021-03-19T05:00:00+00:00,2021-09-13T06:00:00+00:00,2021-09-13T07:00:00+00:00,2021-11-10T06:00:00+00:00,20251119_212118,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_gbpjpy_h1_xgb_baseline_h4_ne400_20251119_212117/20251119_212118/summary.json,-0.3936518566489884,-0.11634663504834186,0.2955571860850789,-0.13126001573364388,-0.12307007244380444,-0.8863829125575863,972722.1755363201,8,52b7591436692f19bdb090af9ff96f3732d8a49d0580312093f39814f7136492,results/walkforward_fx_top6/walkforward_gbpjpy_h1_xgb_baseline_h4_ne400_20251119_212117/walkforward/window_002_test.csv,1ea3ac88ce0cd48ece21e7f4f7f066690fe064cca8ac4e7632f24df1f59b45de,results/walkforward_fx_top6/walkforward_gbpjpy_h1_xgb_baseline_h4_ne400_20251119_212117/walkforward/window_002_equity.csv,fail
3,3000,1000,2021-05-18T06:00:00+00:00,2021-11-10T06:00:00+00:00,2021-11-10T07:00:00+00:00,2022-01-07T00:00:00+00:00,20251119_212119,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_gbpjpy_h1_xgb_baseline_h4_ne400_20251119_212117/20251119_212119/summary.json,1.16728903900763,0.33636060488543396,0.2881553699599464,-0.08608817713824067,0.2857213971772772,3.9071637484588044,1041915.4971169257,4,0b3526501bbbeffc840728821f1d9d8895351eaca4f8201f2d42d01fe02f94c0,results/walkforward_fx_top6/walkforward_gbpjpy_h1_xgb_baseline_h4_ne400_20251119_212117/walkforward/window_003_test.csv,1ea3ac88ce0cd48ece21e7f4f7f066690fe064cca8ac4e7632f24df1f59b45de,results/walkforward_fx_top6/walkforward_gbpjpy_h1_xgb_baseline_h4_ne400_20251119_212117/walkforward/window_003_equity.csv,pass
4,3000,1000,2021-07-15T06:00:00+00:00,2022-01-07T00:00:00+00:00,2022-01-07T01:00:00+00:00,2022-03-07T16:00:00+00:00,20251119_212119,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_gbpjpy_h1_xgb_baseline_h4_ne400_20251119_212117/20251119_212119/summary.json,-1.4536014217342954,-0.4462194847943334,0.3069751295798458,-0.14472060088484445,-0.24987472527160093,-3.08331697122647,899823.6317259255,4,9c8a098f2de902d77d4cde819f90e30a83c6e9a95ccdd8e9acfb5c7a745026fd,results/walkforward_fx_top6/walkforward_gbpjpy_h1_xgb_baseline_h4_ne400_20251119_212117/walkforward/window_004_test.csv,1ea3ac88ce0cd48ece21e7f4f7f066690fe064cca8ac4e7632f24df1f59b45de,results/walkforward_fx_top6/walkforward_gbpjpy_h1_xgb_baseline_h4_ne400_20251119_212117/walkforward/window_004_equity.csv,fail
5,3000,1000,2021-09-13T07:00:00+00:00,2022-03-07T16:00:00+00:00,2022-03-07T17:00:00+00:00,2022-05-04T15:00:00+00:00,20251119_212120,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_gbpjpy_h1_xgb_baseline_h4_ne400_20251119_212117/20251119_212120/summary.json,6.2981451722550785,2.1333935839109617,0.3387336311822566,-0.1175829600505668,2.10200245605603,18.143730885780485,1196340.8958432786,10,347bfc96aa8318615b78892c94c26f5a36cee65cf4a2825878cca0e5eb40eb71,results/walkforward_fx_top6/walkforward_gbpjpy_h1_xgb_baseline_h4_ne400_20251119_212117/walkforward/window_005_test.csv,1ea3ac88ce0cd48ece21e7f4f7f066690fe064cca8ac4e7632f24df1f59b45de,results/walkforward_fx_top6/walkforward_gbpjpy_h1_xgb_baseline_h4_ne400_20251119_212117/walkforward/window_005_equity.csv,fail
6,3000,1000,2021-11-10T07:00:00+00:00,2022-05-04T15:00:00+00:00,2022-05-04T16:00:00+00:00,2022-07-01T15:00:00+00:00,20251119_212120,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_gbpjpy_h1_xgb_baseline_h4_ne400_20251119_212117/20251119_212120/summary.json,28.162060575252468,15.205731484045145,0.5399367508429851,-0.121033131349377,15.047453886317626,125.63280247746324,1546647.054793273,28,4f09fe287a71b54db9e7fba06551619c9262b6d8b2bf4947a8784c1bee77028e,results/walkforward_fx_top6/walkforward_gbpjpy_h1_xgb_baseline_h4_ne400_20251119_212117/walkforward/window_006_test.csv,1ea3ac88ce0cd48ece21e7f4f7f066690fe064cca8ac4e7632f24df1f59b45de,results/walkforward_fx_top6/walkforward_gbpjpy_h1_xgb_baseline_h4_ne400_20251119_212117/walkforward/window_006_equity.csv,fail
7,3000,1000,2022-01-07T01:00:00+00:00,2022-07-01T15:00:00+00:00,2022-07-01T16:00:00+00:00,2022-08-30T17:00:00+00:00,20251119_212120,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_gbpjpy_h1_xgb_baseline_h4_ne400_20251119_212117/20251119_212120/summary.json,-0.2994253005107789,-0.11841273493264082,0.39546669814021984,-0.12835858586561869,-0.08639639450879721,-0.9225151097925745,966612.3689934333,10,71a6c24afdef1c5326911106c7e8d1cc06b15a7197e76e8ec0a2b98b22315919,results/walkforward_fx_top6/walkforward_gbpjpy_h1_xgb_baseline_h4_ne400_20251119_212117/walkforward/window_007_test.csv,1ea3ac88ce0cd48ece21e7f4f7f066690fe064cca8ac4e7632f24df1f59b45de,results/walkforward_fx_top6/walkforward_gbpjpy_h1_xgb_baseline_h4_ne400_20251119_212117/walkforward/window_007_equity.csv,fail
8,3000,1000,2022-03-07T17:00:00+00:00,2022-08-30T17:00:00+00:00,2022-08-30T18:00:00+00:00,2022-10-27T17:00:00+00:00,20251119_212121,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_gbpjpy_h1_xgb_baseline_h4_ne400_20251119_212117/20251119_212121/summary.json,0.3398455416527308,0.133523407102333,0.39289439094296885,-0.11557664452301103,0.13784016047246875,1.1552801835819764,1008272.5206066398,10,c51022fc91020c00afa11a6318824eabb5e4c4843cc21b11e79791b8c7f9ac35,results/walkforward_fx_top6/walkforward_gbpjpy_h1_xgb_baseline_h4_ne400_20251119_212117/walkforward/window_008_test.csv,1ea3ac88ce0cd48ece21e7f4f7f066690fe064cca8ac4e7632f24df1f59b45de,results/walkforward_fx_top6/walkforward_gbpjpy_h1_xgb_baseline_h4_ne400_20251119_212117/walkforward/window_008_equity.csv,fail
9,3000,1000,2022-05-04T16:00:00+00:00,2022-10-27T17:00:00+00:00,2022-10-27T18:00:00+00:00,2022-12-27T11:00:00+00:00,20251119_212121,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_gbpjpy_h1_xgb_baseline_h4_ne400_20251119_212117/20251119_212121/summary.json,-0.6341211315906912,-0.19723511118249104,0.311036963375952,-0.1260528944952209,-0.13912916565327763,-1.5647011674925793,956586.8630745823,10,fa8abe3b327d8bc5f525886d0f1f062fbab07aca4cf07c9d13d8e29e33d7477c,results/walkforward_fx_top6/walkforward_gbpjpy_h1_xgb_baseline_h4_ne400_20251119_212117/walkforward/window_009_test.csv,1ea3ac88ce0cd48ece21e7f4f7f066690fe064cca8ac4e7632f24df1f59b45de,results/walkforward_fx_top6/walkforward_gbpjpy_h1_xgb_baseline_h4_ne400_20251119_212117/walkforward/window_009_equity.csv,fail
