window,train_rows,test_rows,train_start,train_end,test_start,test_end,run_id,summary_path,sharpe,ann_return,ann_vol,max_drawdown,sortino,calmar,final_equity,trades,data_hash,data_path,param_fingerprint,equity_path,status
0,3000,1000,2020-11-19T21:00:00+00:00,2021-05-18T05:00:00+00:00,2021-05-18T06:00:00+00:00,2021-07-15T05:00:00+00:00,20251119_180633,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_gbpjpy_h1_xgb_baseline_updated_20251119_180633/20251119_180633/summary.json,10.020181979119316,4.413369318868993,0.44044802061138694,-0.09014173227008879,4.350460211951571,48.96033399541686,1300825.901098601,20,bbd75b7dcedd37fe4fbbc0436f1581b5007a2953071c27411f6fa2af0e28b71f,results/walkforward_fx_top6/walkforward_gbpjpy_h1_xgb_baseline_updated_20251119_180633/walkforward/window_000_test.csv,1ea3ac88ce0cd48ece21e7f4f7f066690fe064cca8ac4e7632f24df1f59b45de,results/walkforward_fx_top6/walkforward_gbpjpy_h1_xgb_baseline_updated_20251119_180633/walkforward/window_000_equity.csv,pass
1,3000,1000,2021-01-20T13:00:00+00:00,2021-07-15T05:00:00+00:00,2021-07-15T06:00:00+00:00,2021-09-13T06:00:00+00:00,20251119_180634,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_gbpjpy_h1_xgb_baseline_updated_20251119_180633/20251119_180634/summary.json,1.3299655741858831,0.32529732534827205,0.24459078615429392,-0.10071310504413192,0.2725429552702439,3.2299403856700533,1042448.3777001618,4,364ae07266eb09aec54a4582daaa1dd39132c220da29686a9d2c23063b9d85c3,results/walkforward_fx_top6/walkforward_gbpjpy_h1_xgb_baseline_updated_20251119_180633/walkforward/window_001_test.csv,1ea3ac88ce0cd48ece21e7f4f7f066690fe064cca8ac4e7632f24df1f59b45de,results/walkforward_fx_top6/walkforward_gbpjpy_h1_xgb_baseline_updated_20251119_180633/walkforward/window_001_equity.csv,fail
2,3000,1000,2021-03-19T05:00:00+00:00,2021-09-13T06:00:00+00:00,2021-09-13T07:00:00+00:00,2021-11-10T06:00:00+00:00,20251119_180635,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_gbpjpy_h1_xgb_baseline_updated_20251119_180633/20251119_180635/summary.json,1.0834703082655688,0.35714079272169563,0.3296267465726962,-0.1295695823368445,0.2766742206836937,2.7563629231529814,1042334.3793550438,4,52b7591436692f19bdb090af9ff96f3732d8a49d0580312093f39814f7136492,results/walkforward_fx_top6/walkforward_gbpjpy_h1_xgb_baseline_updated_20251119_180633/walkforward/window_002_test.csv,1ea3ac88ce0cd48ece21e7f4f7f066690fe064cca8ac4e7632f24df1f59b45de,results/walkforward_fx_top6/walkforward_gbpjpy_h1_xgb_baseline_updated_20251119_180633/walkforward/window_002_equity.csv,fail
3,3000,1000,2021-05-18T06:00:00+00:00,2021-11-10T06:00:00+00:00,2021-11-10T07:00:00+00:00,2022-01-07T00:00:00+00:00,20251119_180635,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_gbpjpy_h1_xgb_baseline_updated_20251119_180633/20251119_180635/summary.json,5.437156321901564,2.0777015715418394,0.38213018874822313,-0.10790079195094116,2.1692876134755927,19.255665634840753,1189708.9698210582,12,0b3526501bbbeffc840728821f1d9d8895351eaca4f8201f2d42d01fe02f94c0,results/walkforward_fx_top6/walkforward_gbpjpy_h1_xgb_baseline_updated_20251119_180633/walkforward/window_003_test.csv,1ea3ac88ce0cd48ece21e7f4f7f066690fe064cca8ac4e7632f24df1f59b45de,results/walkforward_fx_top6/walkforward_gbpjpy_h1_xgb_baseline_updated_20251119_180633/walkforward/window_003_equity.csv,fail
4,3000,1000,2021-07-15T06:00:00+00:00,2022-01-07T00:00:00+00:00,2022-01-07T01:00:00+00:00,2022-03-07T16:00:00+00:00,20251119_180637,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_gbpjpy_h1_xgb_baseline_updated_20251119_180633/20251119_180637/summary.json,-2.007210058149524,-0.45758693614842527,0.2279716237424006,-0.1272076907381948,-0.46939801815943344,-3.5971640825567817,900018.8985715932,4,9c8a098f2de902d77d4cde819f90e30a83c6e9a95ccdd8e9acfb5c7a745026fd,results/walkforward_fx_top6/walkforward_gbpjpy_h1_xgb_baseline_updated_20251119_180633/walkforward/window_004_test.csv,1ea3ac88ce0cd48ece21e7f4f7f066690fe064cca8ac4e7632f24df1f59b45de,results/walkforward_fx_top6/walkforward_gbpjpy_h1_xgb_baseline_updated_20251119_180633/walkforward/window_004_equity.csv,fail
5,3000,1000,2021-09-13T07:00:00+00:00,2022-03-07T16:00:00+00:00,2022-03-07T17:00:00+00:00,2022-05-04T15:00:00+00:00,20251119_180638,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_gbpjpy_h1_xgb_baseline_updated_20251119_180633/20251119_180638/summary.json,90.19341382291616,46.258452243269,0.5128806005069491,-0.10645660645896596,46.32807419051773,434.52871345377207,1850552.0207875033,22,347bfc96aa8318615b78892c94c26f5a36cee65cf4a2825878cca0e5eb40eb71,results/walkforward_fx_top6/walkforward_gbpjpy_h1_xgb_baseline_updated_20251119_180633/walkforward/window_005_test.csv,1ea3ac88ce0cd48ece21e7f4f7f066690fe064cca8ac4e7632f24df1f59b45de,results/walkforward_fx_top6/walkforward_gbpjpy_h1_xgb_baseline_updated_20251119_180633/walkforward/window_005_equity.csv,fail
6,3000,1000,2021-11-10T07:00:00+00:00,2022-05-04T15:00:00+00:00,2022-05-04T16:00:00+00:00,2022-07-01T15:00:00+00:00,20251119_180638,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_gbpjpy_h1_xgb_baseline_updated_20251119_180633/20251119_180638/summary.json,-0.9714960138040444,-0.24641918009694241,0.2536491931984874,-0.10316168044983327,-0.20379744154664742,-2.388669698113091,949277.7484965152,2,4f09fe287a71b54db9e7fba06551619c9262b6d8b2bf4947a8784c1bee77028e,results/walkforward_fx_top6/walkforward_gbpjpy_h1_xgb_baseline_updated_20251119_180633/walkforward/window_006_test.csv,1ea3ac88ce0cd48ece21e7f4f7f066690fe064cca8ac4e7632f24df1f59b45de,results/walkforward_fx_top6/walkforward_gbpjpy_h1_xgb_baseline_updated_20251119_180633/walkforward/window_006_equity.csv,fail
7,3000,1000,2022-01-07T01:00:00+00:00,2022-07-01T15:00:00+00:00,2022-07-01T16:00:00+00:00,2022-08-30T17:00:00+00:00,20251119_180639,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_gbpjpy_h1_xgb_baseline_updated_20251119_180633/20251119_180639/summary.json,3.123422490738933,1.3884214519347733,0.4445192592585524,-0.13045426904828286,1.132609539521652,10.642974446630797,1135794.0676710517,12,71a6c24afdef1c5326911106c7e8d1cc06b15a7197e76e8ec0a2b98b22315919,results/walkforward_fx_top6/walkforward_gbpjpy_h1_xgb_baseline_updated_20251119_180633/walkforward/window_007_test.csv,1ea3ac88ce0cd48ece21e7f4f7f066690fe064cca8ac4e7632f24df1f59b45de,results/walkforward_fx_top6/walkforward_gbpjpy_h1_xgb_baseline_updated_20251119_180633/walkforward/window_007_equity.csv,fail
8,3000,1000,2022-03-07T17:00:00+00:00,2022-08-30T17:00:00+00:00,2022-08-30T18:00:00+00:00,2022-10-27T17:00:00+00:00,20251119_180639,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_gbpjpy_h1_xgb_baseline_updated_20251119_180633/20251119_180639/summary.json,6.186616323961504,2.5535107728658963,0.41274755684716447,-0.1217872539579678,2.7659411333115544,20.966978808366797,1216233.2299690014,8,c51022fc91020c00afa11a6318824eabb5e4c4843cc21b11e79791b8c7f9ac35,results/walkforward_fx_top6/walkforward_gbpjpy_h1_xgb_baseline_updated_20251119_180633/walkforward/window_008_test.csv,1ea3ac88ce0cd48ece21e7f4f7f066690fe064cca8ac4e7632f24df1f59b45de,results/walkforward_fx_top6/walkforward_gbpjpy_h1_xgb_baseline_updated_20251119_180633/walkforward/window_008_equity.csv,fail
9,3000,1000,2022-05-04T16:00:00+00:00,2022-10-27T17:00:00+00:00,2022-10-27T18:00:00+00:00,2022-12-27T11:00:00+00:00,20251119_180640,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_gbpjpy_h1_xgb_baseline_updated_20251119_180633/20251119_180640/summary.json,0.04011750777771614,0.015458819301430227,0.3853384758366534,-0.13361942845536032,0.01191267188120738,0.11569290095111222,990364.244700796,6,fa8abe3b327d8bc5f525886d0f1f062fbab07aca4cf07c9d13d8e29e33d7477c,results/walkforward_fx_top6/walkforward_gbpjpy_h1_xgb_baseline_updated_20251119_180633/walkforward/window_009_test.csv,1ea3ac88ce0cd48ece21e7f4f7f066690fe064cca8ac4e7632f24df1f59b45de,results/walkforward_fx_top6/walkforward_gbpjpy_h1_xgb_baseline_updated_20251119_180633/walkforward/window_009_equity.csv,fail
10,3000,1000,2022-07-01T16:00:00+00:00,2022-12-27T11:00:00+00:00,2022-12-27T12:00:00+00:00,2023-02-23T04:00:00+00:00,20251119_180641,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_gbpjpy_h1_xgb_baseline_updated_20251119_180633/20251119_180641/summary.json,0.8310706161073749,0.3058264232329222,0.3679908990951609,-0.12979334649572927,0.33580906995103343,2.3562565531275914,1033443.3653088432,10,17c458d82adf6ba1b8bfed0d0b84e18e7956daac80fbc8a85dadf310ef7a3e97,results/walkforward_fx_top6/walkforward_gbpjpy_h1_xgb_baseline_updated_20251119_180633/walkforward/window_010_test.csv,1ea3ac88ce0cd48ece21e7f4f7f066690fe064cca8ac4e7632f24df1f59b45de,results/walkforward_fx_top6/walkforward_gbpjpy_h1_xgb_baseline_updated_20251119_180633/walkforward/window_010_equity.csv,fail
