window,train_rows,test_rows,train_start,train_end,test_start,test_end,run_id,summary_path,sharpe,ann_return,ann_vol,max_drawdown,sortino,calmar,final_equity,trades,data_hash,data_path,param_fingerprint,equity_path,status
0,3000,1000,2020-11-19T21:00:00+00:00,2021-05-18T05:00:00+00:00,2021-05-18T06:00:00+00:00,2021-07-15T05:00:00+00:00,20251119_165847,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_gbpusd_h1_xgb_tuned_20251119_165847/20251119_165847/summary.json,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0,fec2c48105c7a51978e3c1af693cb80987e1bfb6d38f42b15b6028c2079a0682,results/walkforward_fx_top6/walkforward_gbpusd_h1_xgb_tuned_20251119_165847/walkforward/window_000_test.csv,601ab931b3b636f957a3992aa9922cb26b46cc130216c6bfa44c541783ba6d4b,results/walkforward_fx_top6/walkforward_gbpusd_h1_xgb_tuned_20251119_165847/walkforward/window_000_equity.csv,fail
1,3000,1000,2021-01-20T13:00:00+00:00,2021-07-15T05:00:00+00:00,2021-07-15T06:00:00+00:00,2021-09-13T06:00:00+00:00,20251119_165847,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_gbpusd_h1_xgb_tuned_20251119_165847/20251119_165847/summary.json,-2.196958037497372,-0.01562842143951393,0.007113664063113734,-0.0044936814498212135,-0.19600635158327911,-3.4778658910358953,997397.3500611607,2,f23c4ed6764fa06b2fd48006924abe8635f6c0db9428c2a989d99f45d6e933fc,results/walkforward_fx_top6/walkforward_gbpusd_h1_xgb_tuned_20251119_165847/walkforward/window_001_test.csv,601ab931b3b636f957a3992aa9922cb26b46cc130216c6bfa44c541783ba6d4b,results/walkforward_fx_top6/walkforward_gbpusd_h1_xgb_tuned_20251119_165847/walkforward/window_001_equity.csv,fail
2,3000,1000,2021-03-19T05:00:00+00:00,2021-09-13T06:00:00+00:00,2021-09-13T07:00:00+00:00,2021-11-10T06:00:00+00:00,20251119_165848,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_gbpusd_h1_xgb_tuned_20251119_165847/20251119_165848/summary.json,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0,56253e73249c6196fa94d2ba4dfdcd4b13d3dafc4de85a2df7a85b9237a83d73,results/walkforward_fx_top6/walkforward_gbpusd_h1_xgb_tuned_20251119_165847/walkforward/window_002_test.csv,601ab931b3b636f957a3992aa9922cb26b46cc130216c6bfa44c541783ba6d4b,results/walkforward_fx_top6/walkforward_gbpusd_h1_xgb_tuned_20251119_165847/walkforward/window_002_equity.csv,fail
3,3000,1000,2021-05-18T06:00:00+00:00,2021-11-10T06:00:00+00:00,2021-11-10T07:00:00+00:00,2022-01-07T00:00:00+00:00,20251119_165848,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_gbpusd_h1_xgb_tuned_20251119_165847/20251119_165848/summary.json,2.666799265401229,0.026051376744417043,0.009768780531180146,-0.002493517891393614,0.41905522391654165,10.447639792091913,1004249.16645,2,d2035ea5f35c243a91e2537cc83d2678124d3d79060df2ff69260407a45a10d8,results/walkforward_fx_top6/walkforward_gbpusd_h1_xgb_tuned_20251119_165847/walkforward/window_003_test.csv,601ab931b3b636f957a3992aa9922cb26b46cc130216c6bfa44c541783ba6d4b,results/walkforward_fx_top6/walkforward_gbpusd_h1_xgb_tuned_20251119_165847/walkforward/window_003_equity.csv,pass
4,3000,1000,2021-07-15T06:00:00+00:00,2022-01-07T00:00:00+00:00,2022-01-07T01:00:00+00:00,2022-03-07T16:00:00+00:00,20251119_165849,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_gbpusd_h1_xgb_tuned_20251119_165847/20251119_165849/summary.json,0.8896199448689148,0.007623327644152633,0.008569195967471174,-0.0023004207937500905,0.06362375159087638,3.313883992382658,1001249.1580999999,2,6d550b74bab360906ae3d15d1f9e7afd2640978dcaa27388c9be117285dfa113,results/walkforward_fx_top6/walkforward_gbpusd_h1_xgb_tuned_20251119_165847/walkforward/window_004_test.csv,601ab931b3b636f957a3992aa9922cb26b46cc130216c6bfa44c541783ba6d4b,results/walkforward_fx_top6/walkforward_gbpusd_h1_xgb_tuned_20251119_165847/walkforward/window_004_equity.csv,fail
5,3000,1000,2021-09-13T07:00:00+00:00,2022-03-07T16:00:00+00:00,2022-03-07T17:00:00+00:00,2022-05-04T15:00:00+00:00,20251119_165849,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_gbpusd_h1_xgb_tuned_20251119_165847/20251119_165849/summary.json,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0,7bc344c0bec691bd6cb200c303fbe4f3d44bb07356ada177c9a00821780c1487,results/walkforward_fx_top6/walkforward_gbpusd_h1_xgb_tuned_20251119_165847/walkforward/window_005_test.csv,601ab931b3b636f957a3992aa9922cb26b46cc130216c6bfa44c541783ba6d4b,results/walkforward_fx_top6/walkforward_gbpusd_h1_xgb_tuned_20251119_165847/walkforward/window_005_equity.csv,fail
6,3000,1000,2021-11-10T07:00:00+00:00,2022-05-04T15:00:00+00:00,2022-05-04T16:00:00+00:00,2022-07-01T15:00:00+00:00,20251119_165849,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_gbpusd_h1_xgb_tuned_20251119_165847/20251119_165849/summary.json,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0,4341b4a84ea8d2dc895e12f43c614d52d26a13e7eea0c1a7b8b1afcd02dcf051,results/walkforward_fx_top6/walkforward_gbpusd_h1_xgb_tuned_20251119_165847/walkforward/window_006_test.csv,601ab931b3b636f957a3992aa9922cb26b46cc130216c6bfa44c541783ba6d4b,results/walkforward_fx_top6/walkforward_gbpusd_h1_xgb_tuned_20251119_165847/walkforward/window_006_equity.csv,fail
7,3000,1000,2022-01-07T01:00:00+00:00,2022-07-01T15:00:00+00:00,2022-07-01T16:00:00+00:00,2022-08-30T17:00:00+00:00,20251119_165850,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_gbpusd_h1_xgb_tuned_20251119_165847/20251119_165850/summary.json,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0,fed261cb52b55e3771250c3eb44695d234075a12265565d101b2ed85d6cd2c1d,results/walkforward_fx_top6/walkforward_gbpusd_h1_xgb_tuned_20251119_165847/walkforward/window_007_test.csv,601ab931b3b636f957a3992aa9922cb26b46cc130216c6bfa44c541783ba6d4b,results/walkforward_fx_top6/walkforward_gbpusd_h1_xgb_tuned_20251119_165847/walkforward/window_007_equity.csv,fail
8,3000,1000,2022-03-07T17:00:00+00:00,2022-08-30T17:00:00+00:00,2022-08-30T18:00:00+00:00,2022-10-27T17:00:00+00:00,20251119_165850,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_gbpusd_h1_xgb_tuned_20251119_165847/20251119_165850/summary.json,7.905049076364761,0.7122079647928767,0.09009532488827948,-0.014768570924609582,3.33910525300877,48.224568810926066,1092165.1910369874,24,8720f81e59971cfabc8ca5e2f9df1525b0b9964098470751c13b07b0a9d0a7c2,results/walkforward_fx_top6/walkforward_gbpusd_h1_xgb_tuned_20251119_165847/walkforward/window_008_test.csv,601ab931b3b636f957a3992aa9922cb26b46cc130216c6bfa44c541783ba6d4b,results/walkforward_fx_top6/walkforward_gbpusd_h1_xgb_tuned_20251119_165847/walkforward/window_008_equity.csv,pass
9,3000,1000,2022-05-04T16:00:00+00:00,2022-10-27T17:00:00+00:00,2022-10-27T18:00:00+00:00,2022-12-27T11:00:00+00:00,20251119_165851,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_gbpusd_h1_xgb_tuned_20251119_165847/20251119_165851/summary.json,4.028695872612584,0.12497401229635519,0.03102095969714148,-0.005243322555802173,0.7957854795877933,23.83488922650029,1019561.0376843752,4,c81e522b3e77d8ef5b1585cf1c1bf6d8309f9a5489be952fd0b26e28814e85c6,results/walkforward_fx_top6/walkforward_gbpusd_h1_xgb_tuned_20251119_165847/walkforward/window_009_test.csv,601ab931b3b636f957a3992aa9922cb26b46cc130216c6bfa44c541783ba6d4b,results/walkforward_fx_top6/walkforward_gbpusd_h1_xgb_tuned_20251119_165847/walkforward/window_009_equity.csv,pass
