window,train_rows,test_rows,train_start,train_end,test_start,test_end,run_id,summary_path,sharpe,ann_return,ann_vol,max_drawdown,sortino,calmar,final_equity,trades,data_hash,data_path,param_fingerprint,equity_path,status
0,3000,1000,2020-11-19T21:00:00+00:00,2021-05-18T05:00:00+00:00,2021-05-18T06:00:00+00:00,2021-07-15T05:00:00+00:00,20251119_161201,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_usdchf_h1_xgb_baseline_20251119_161201/20251119_161201/summary.json,0.18202534079008997,0.002340967923331938,0.012860670460337287,-0.0037246777536287627,0.052721776755242505,0.6285021358025544,1000372.6507094586,14,10a8c52cbf69451454ec346b1f1058eaf0215eb28d77fd4dc482802bcdc13444,results/walkforward_fx_top6/walkforward_usdchf_h1_xgb_baseline_20251119_161201/walkforward/window_000_test.csv,bc4b88580109bb18ff7c2affb01f0a73d405ef32714971bc789c8c55560f74d0,results/walkforward_fx_top6/walkforward_usdchf_h1_xgb_baseline_20251119_161201/walkforward/window_000_equity.csv,fail
1,3000,1000,2021-01-20T13:00:00+00:00,2021-07-15T05:00:00+00:00,2021-07-15T06:00:00+00:00,2021-09-13T06:00:00+00:00,20251119_161202,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_usdchf_h1_xgb_baseline_20251119_161201/20251119_161202/summary.json,-0.9542889823316445,-0.010660431438589302,0.011171072532496742,-0.006949622026655883,-0.26804589696138825,-1.5339584509344946,998220.9610294491,14,95bca2c8b45cd9cc78e4dc780f3cc6cfb7d2e2f904bce2eff79be7af6e0ec37b,results/walkforward_fx_top6/walkforward_usdchf_h1_xgb_baseline_20251119_161201/walkforward/window_001_test.csv,bc4b88580109bb18ff7c2affb01f0a73d405ef32714971bc789c8c55560f74d0,results/walkforward_fx_top6/walkforward_usdchf_h1_xgb_baseline_20251119_161201/walkforward/window_001_equity.csv,fail
2,3000,1000,2021-03-19T05:00:00+00:00,2021-09-13T06:00:00+00:00,2021-09-13T07:00:00+00:00,2021-11-10T06:00:00+00:00,20251119_161202,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_usdchf_h1_xgb_baseline_20251119_161201/20251119_161202/summary.json,5.028614740019137,0.0781319105628746,0.015537462025292728,-0.0032440271854751344,1.8660134128334223,24.084850741295828,1012483.7333508078,14,d9c87b02904a635ac57626a27fe71e5e61ea4d59db0d7ea423ea56bc8f976744,results/walkforward_fx_top6/walkforward_usdchf_h1_xgb_baseline_20251119_161201/walkforward/window_002_test.csv,bc4b88580109bb18ff7c2affb01f0a73d405ef32714971bc789c8c55560f74d0,results/walkforward_fx_top6/walkforward_usdchf_h1_xgb_baseline_20251119_161201/walkforward/window_002_equity.csv,pass
3,3000,1000,2021-05-18T06:00:00+00:00,2021-11-10T06:00:00+00:00,2021-11-10T07:00:00+00:00,2022-01-07T00:00:00+00:00,20251119_161203,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_usdchf_h1_xgb_baseline_20251119_161201/20251119_161203/summary.json,5.4223962832885295,0.1095034363142382,0.020194657600316048,-0.0036235221673737517,1.9219313185760263,30.220164595709885,1017278.0546415361,22,1d1a5cb7fbcf4481affd83b6fa34e675b5afa0d9705c4759f0eaef606dc061cd,results/walkforward_fx_top6/walkforward_usdchf_h1_xgb_baseline_20251119_161201/walkforward/window_003_test.csv,bc4b88580109bb18ff7c2affb01f0a73d405ef32714971bc789c8c55560f74d0,results/walkforward_fx_top6/walkforward_usdchf_h1_xgb_baseline_20251119_161201/walkforward/window_003_equity.csv,pass
4,3000,1000,2021-07-15T06:00:00+00:00,2022-01-07T00:00:00+00:00,2022-01-07T01:00:00+00:00,2022-03-07T16:00:00+00:00,20251119_161203,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_usdchf_h1_xgb_baseline_20251119_161201/20251119_161203/summary.json,2.418064819922468,0.02843085049081684,0.011757687493145215,-0.0032509128399638636,0.6659132280479673,8.745497615719795,1004629.9381272838,8,234db161dc32f24ed7945b687b7abc815f928cc22ba2231168f61304cf06e019,results/walkforward_fx_top6/walkforward_usdchf_h1_xgb_baseline_20251119_161201/walkforward/window_004_test.csv,bc4b88580109bb18ff7c2affb01f0a73d405ef32714971bc789c8c55560f74d0,results/walkforward_fx_top6/walkforward_usdchf_h1_xgb_baseline_20251119_161201/walkforward/window_004_equity.csv,pass
5,3000,1000,2021-09-13T07:00:00+00:00,2022-03-07T16:00:00+00:00,2022-03-07T17:00:00+00:00,2022-05-04T15:00:00+00:00,20251119_161204,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_usdchf_h1_xgb_baseline_20251119_161201/20251119_161204/summary.json,5.440720248541313,0.08109198838399156,0.014904642157576982,-0.0023244029093829684,1.3349237240379188,34.88723407488683,1012943.9758072166,12,9fccf16e16914a8a20ffee079246a65e89bdbdefdc68ecb474c3f5b4081e8b08,results/walkforward_fx_top6/walkforward_usdchf_h1_xgb_baseline_20251119_161201/walkforward/window_005_test.csv,bc4b88580109bb18ff7c2affb01f0a73d405ef32714971bc789c8c55560f74d0,results/walkforward_fx_top6/walkforward_usdchf_h1_xgb_baseline_20251119_161201/walkforward/window_005_equity.csv,pass
6,3000,1000,2021-11-10T07:00:00+00:00,2022-05-04T15:00:00+00:00,2022-05-04T16:00:00+00:00,2022-07-01T15:00:00+00:00,20251119_161204,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_usdchf_h1_xgb_baseline_20251119_161201/20251119_161204/summary.json,1.9321745728186268,0.06420188920810888,0.033227789099021285,-0.00878016208363339,0.749133141181633,7.312153078333718,1010239.3451458991,24,8ccd252f0b6145132ba38fe35dbf3067e282092d1a1e87ff482559c98e6f4e07,results/walkforward_fx_top6/walkforward_usdchf_h1_xgb_baseline_20251119_161201/walkforward/window_006_test.csv,bc4b88580109bb18ff7c2affb01f0a73d405ef32714971bc789c8c55560f74d0,results/walkforward_fx_top6/walkforward_usdchf_h1_xgb_baseline_20251119_161201/walkforward/window_006_equity.csv,pass
7,3000,1000,2022-01-07T01:00:00+00:00,2022-07-01T15:00:00+00:00,2022-07-01T16:00:00+00:00,2022-08-30T17:00:00+00:00,20251119_161204,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_usdchf_h1_xgb_baseline_20251119_161201/20251119_161204/summary.json,1.563646749206903,0.04018058660941182,0.025696716109179906,-0.007706593280082732,0.49712283514838884,5.213793585455761,1006473.510666433,22,8cdff072d345138bd59a0cc0c1891668f39c32cb87fe75f661fdf5272b772985,results/walkforward_fx_top6/walkforward_usdchf_h1_xgb_baseline_20251119_161201/walkforward/window_007_test.csv,bc4b88580109bb18ff7c2affb01f0a73d405ef32714971bc789c8c55560f74d0,results/walkforward_fx_top6/walkforward_usdchf_h1_xgb_baseline_20251119_161201/walkforward/window_007_equity.csv,pass
8,3000,1000,2022-03-07T17:00:00+00:00,2022-08-30T17:00:00+00:00,2022-08-30T18:00:00+00:00,2022-10-27T17:00:00+00:00,20251119_161205,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_usdchf_h1_xgb_baseline_20251119_161201/20251119_161205/summary.json,3.4666735616549573,0.11726481484769757,0.03382632161988637,-0.007179058654968038,1.288515954496201,16.33428844693283,1018388.3629023733,20,05910f1b74bedfbd8f04d21620e307b0caee477c8224148b7d56f927f90c6d5f,results/walkforward_fx_top6/walkforward_usdchf_h1_xgb_baseline_20251119_161201/walkforward/window_008_test.csv,bc4b88580109bb18ff7c2affb01f0a73d405ef32714971bc789c8c55560f74d0,results/walkforward_fx_top6/walkforward_usdchf_h1_xgb_baseline_20251119_161201/walkforward/window_008_equity.csv,pass
9,3000,1000,2022-05-04T16:00:00+00:00,2022-10-27T17:00:00+00:00,2022-10-27T18:00:00+00:00,2022-12-27T11:00:00+00:00,20251119_161205,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_usdchf_h1_xgb_baseline_20251119_161201/20251119_161205/summary.json,5.978256469703502,0.16387343762654072,0.02741157701363525,-0.002585458447787056,2.567232366103463,63.382738858867825,1025319.8386745685,14,2cbcb90e703e42fe3408308a5c1f74ce8a889e09192bcc8db7b5535410f630e8,results/walkforward_fx_top6/walkforward_usdchf_h1_xgb_baseline_20251119_161201/walkforward/window_009_test.csv,bc4b88580109bb18ff7c2affb01f0a73d405ef32714971bc789c8c55560f74d0,results/walkforward_fx_top6/walkforward_usdchf_h1_xgb_baseline_20251119_161201/walkforward/window_009_equity.csv,pass
