window,train_rows,test_rows,train_start,train_end,test_start,test_end,run_id,summary_path,sharpe,ann_return,ann_vol,max_drawdown,sortino,calmar,final_equity,trades,data_hash,data_path,param_fingerprint,equity_path,status
0,3000,1000,2020-11-19T21:00:00+00:00,2021-05-18T04:00:00+00:00,2021-05-18T05:00:00+00:00,2021-07-15T04:00:00+00:00,20251119_161300,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_usdjpy_h1_xgbRegime_v1.0_20251118_20251119_161300/20251119_161300/summary.json,-4.173671331920764,-0.005998796642883497,0.001437294929527379,-0.0009935332038678705,-0.37675490620203644,-6.037842137061857,959046.2081242868,4,7fc191e3b358ed04bb45c4f036c6b0854ccfbc15e2dd277e5b838651ac34d2b9,results/walkforward_fx_top6/walkforward_usdjpy_h1_xgbRegime_v1.0_20251118_20251119_161300/walkforward/window_000_test.csv,55a86d624c096ccba952919f63a90ac86a2a0abc133fd2900cd8a426a7dc8b7c,results/walkforward_fx_top6/walkforward_usdjpy_h1_xgbRegime_v1.0_20251118_20251119_161300/walkforward/window_000_equity.csv,fail
1,3000,1000,2021-01-20T12:00:00+00:00,2021-07-15T04:00:00+00:00,2021-07-15T05:00:00+00:00,2021-09-13T05:00:00+00:00,20251119_161300,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_usdjpy_h1_xgbRegime_v1.0_20251118_20251119_161300/20251119_161300/summary.json,2.6754239755777864,0.005139202411670762,0.0019208927103080537,-0.0006527980807378748,0.677697479152481,7.872575859692765,960812.8955043227,6,3cc0428ecbb0129402715266e453c69fe2112617b5a01607f8cb37e40252aa6d,results/walkforward_fx_top6/walkforward_usdjpy_h1_xgbRegime_v1.0_20251118_20251119_161300/walkforward/window_001_test.csv,55a86d624c096ccba952919f63a90ac86a2a0abc133fd2900cd8a426a7dc8b7c,results/walkforward_fx_top6/walkforward_usdjpy_h1_xgbRegime_v1.0_20251118_20251119_161300/walkforward/window_001_equity.csv,pass
2,3000,1000,2021-03-19T04:00:00+00:00,2021-09-13T05:00:00+00:00,2021-09-13T06:00:00+00:00,2021-11-10T05:00:00+00:00,20251119_161301,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_usdjpy_h1_xgbRegime_v1.0_20251118_20251119_161300/20251119_161301/summary.json,0.9387261369579369,0.0017190241629478908,0.0018312307448033888,-0.0006031841869710446,0.06769286806281871,2.849915830154896,960272.1270106231,2,c0affaa9ff7391fb76bd37146d07c38656c1383ea2fbb0e627a60b908abfc683,results/walkforward_fx_top6/walkforward_usdjpy_h1_xgbRegime_v1.0_20251118_20251119_161300/walkforward/window_002_test.csv,55a86d624c096ccba952919f63a90ac86a2a0abc133fd2900cd8a426a7dc8b7c,results/walkforward_fx_top6/walkforward_usdjpy_h1_xgbRegime_v1.0_20251118_20251119_161300/walkforward/window_002_equity.csv,fail
3,3000,1000,2021-05-18T05:00:00+00:00,2021-11-10T05:00:00+00:00,2021-11-10T06:00:00+00:00,2022-01-06T23:00:00+00:00,20251119_161302,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_usdjpy_h1_xgbRegime_v1.0_20251118_20251119_161300/20251119_161302/summary.json,6.42426921925246,0.02395065397824414,0.003728152286406061,-0.0006535922443166526,1.9839712413139174,36.64464226206534,963759.3626782733,22,55a517ddbe1a8c12ed960996b72c9c38e021365be453bbd665d096073bdd86c2,results/walkforward_fx_top6/walkforward_usdjpy_h1_xgbRegime_v1.0_20251118_20251119_161300/walkforward/window_003_test.csv,55a86d624c096ccba952919f63a90ac86a2a0abc133fd2900cd8a426a7dc8b7c,results/walkforward_fx_top6/walkforward_usdjpy_h1_xgbRegime_v1.0_20251118_20251119_161300/walkforward/window_003_equity.csv,pass
4,3000,1000,2021-07-15T05:00:00+00:00,2022-01-06T23:00:00+00:00,2022-01-07T00:00:00+00:00,2022-03-07T15:00:00+00:00,20251119_161303,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_usdjpy_h1_xgbRegime_v1.0_20251118_20251119_161300/20251119_161303/summary.json,0.7715934365982755,0.0016187953891215745,0.0020979900972957453,-0.0007014212880156115,0.12348324008306863,2.307878897860803,960256.1726965848,6,89cdb12448592f59357fff1e7a5f62b215df517f259886e8d51a787c3bd92b94,results/walkforward_fx_top6/walkforward_usdjpy_h1_xgbRegime_v1.0_20251118_20251119_161300/walkforward/window_004_test.csv,55a86d624c096ccba952919f63a90ac86a2a0abc133fd2900cd8a426a7dc8b7c,results/walkforward_fx_top6/walkforward_usdjpy_h1_xgbRegime_v1.0_20251118_20251119_161300/walkforward/window_004_equity.csv,fail
5,3000,1000,2021-09-13T06:00:00+00:00,2022-03-07T15:00:00+00:00,2022-03-07T16:00:00+00:00,2022-05-04T14:00:00+00:00,20251119_161303,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_usdjpy_h1_xgbRegime_v1.0_20251118_20251119_161300/20251119_161303/summary.json,4.3010790242084145,0.016292052470628704,0.0037878988920988614,-0.0006741060271556831,1.75267915175407,24.16838273850071,962564.9189300148,30,587cc296f649afa4b0d735fa24b2b3abb2a8f4c50fd2ce6ed9ffd9b1ca1c73e3,results/walkforward_fx_top6/walkforward_usdjpy_h1_xgbRegime_v1.0_20251118_20251119_161300/walkforward/window_005_test.csv,55a86d624c096ccba952919f63a90ac86a2a0abc133fd2900cd8a426a7dc8b7c,results/walkforward_fx_top6/walkforward_usdjpy_h1_xgbRegime_v1.0_20251118_20251119_161300/walkforward/window_005_equity.csv,pass
6,3000,1000,2021-11-10T06:00:00+00:00,2022-05-04T14:00:00+00:00,2022-05-04T15:00:00+00:00,2022-07-01T14:00:00+00:00,20251119_161304,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_usdjpy_h1_xgbRegime_v1.0_20251118_20251119_161300/20251119_161304/summary.json,6.178292505905856,0.027040229510467917,0.004376650908745425,-0.0010612427043097154,3.3177007456836844,25.47977894279727,964238.6733491559,52,eaf88b31ec4fd12dda7ac9ca4a1f8619917ebd1a901448033cf0a1c03d827ad9,results/walkforward_fx_top6/walkforward_usdjpy_h1_xgbRegime_v1.0_20251118_20251119_161300/walkforward/window_006_test.csv,55a86d624c096ccba952919f63a90ac86a2a0abc133fd2900cd8a426a7dc8b7c,results/walkforward_fx_top6/walkforward_usdjpy_h1_xgbRegime_v1.0_20251118_20251119_161300/walkforward/window_006_equity.csv,pass
7,3000,1000,2022-01-07T00:00:00+00:00,2022-07-01T14:00:00+00:00,2022-07-01T15:00:00+00:00,2022-08-30T16:00:00+00:00,20251119_161304,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_usdjpy_h1_xgbRegime_v1.0_20251118_20251119_161300/20251119_161304/summary.json,6.984658796196601,0.029474521275599574,0.004219894218977385,-0.0007448909853427555,3.8041348045723713,39.56890586081816,964615.9134282998,34,a139f14983e0d65578a35e917f75c7b570de7cd98deb8ed591617efdc1c92b91,results/walkforward_fx_top6/walkforward_usdjpy_h1_xgbRegime_v1.0_20251118_20251119_161300/walkforward/window_007_test.csv,55a86d624c096ccba952919f63a90ac86a2a0abc133fd2900cd8a426a7dc8b7c,results/walkforward_fx_top6/walkforward_usdjpy_h1_xgbRegime_v1.0_20251118_20251119_161300/walkforward/window_007_equity.csv,pass
8,3000,1000,2022-03-07T16:00:00+00:00,2022-08-30T16:00:00+00:00,2022-08-30T17:00:00+00:00,2022-10-27T16:00:00+00:00,20251119_161305,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_usdjpy_h1_xgbRegime_v1.0_20251118_20251119_161300/20251119_161305/summary.json,4.499643942110728,0.01680393818264503,0.003734503973832762,-0.000904560457319951,2.5379741222691936,18.57690997507459,962645.0166706871,34,8a56755ca57636c7c173a76f3c77a8ae5386c83401dd648c8bf188cb66c3b4b2,results/walkforward_fx_top6/walkforward_usdjpy_h1_xgbRegime_v1.0_20251118_20251119_161300/walkforward/window_008_test.csv,55a86d624c096ccba952919f63a90ac86a2a0abc133fd2900cd8a426a7dc8b7c,results/walkforward_fx_top6/walkforward_usdjpy_h1_xgbRegime_v1.0_20251118_20251119_161300/walkforward/window_008_equity.csv,pass
9,3000,1000,2022-05-04T15:00:00+00:00,2022-10-27T16:00:00+00:00,2022-10-27T17:00:00+00:00,2022-12-27T10:00:00+00:00,20251119_161305,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_fx_top6/walkforward_usdjpy_h1_xgbRegime_v1.0_20251118_20251119_161300/20251119_161305/summary.json,6.4319382497338955,0.03605277264107043,0.005605273440329129,-0.0013207892698445462,4.403124291338825,27.296385172264277,965630.2532823598,54,3518bff6b1e01a4c0904ce7ae9d8fb91ba4eaff69f9c2452e148a8a617ed5d48,results/walkforward_fx_top6/walkforward_usdjpy_h1_xgbRegime_v1.0_20251118_20251119_161300/walkforward/window_009_test.csv,55a86d624c096ccba952919f63a90ac86a2a0abc133fd2900cd8a426a7dc8b7c,results/walkforward_fx_top6/walkforward_usdjpy_h1_xgbRegime_v1.0_20251118_20251119_161300/walkforward/window_009_equity.csv,pass
