window,train_rows,test_rows,train_start,train_end,test_start,test_end,run_id,summary_path,sharpe,ann_return,ann_vol,max_drawdown,sortino,calmar,final_equity,trades,data_hash,data_path,param_fingerprint,status
0,6000,1500,2020-11-15T22:00:00+00:00,2021-11-04T05:00:00+00:00,2021-11-04T06:00:00+00:00,2022-01-31T20:00:00+00:00,20251116_224027,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_short_v1e_20251116_224027/20251116_224027/summary.json,4.4223007333911095,0.004019640177147954,0.0009089477218944386,-0.00010325181264061319,1.0103300088037523,38.93045627333485,960954.8784108165,8,9315be84f1524198ee52ec58de3c135658cdcad7f9ee7c9d7d4149b22c8e3db2,results/walkforward_usdjpy_xgb_short_v1e_20251116_224027/walkforward/window_000_test.csv,e4195713abe5ea943cddddeef682b9a0dbedd1ce4d3a5a35a5b131b9bdeb8768,pass
1,6000,1500,2021-02-12T09:00:00+00:00,2022-01-31T20:00:00+00:00,2022-01-31T21:00:00+00:00,2022-04-28T14:00:00+00:00,20251116_224028,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_short_v1e_20251116_224027/20251116_224028/summary.json,4.11065060566084,0.003169654249640219,0.0007710833524199891,-0.00014229006795398,0.9856320325459541,22.27600489069526,960753.2083859759,10,d899d0831c1e15dd8a3784c9673f542a37004b19c95eb39103dd23d000472595,results/walkforward_usdjpy_xgb_short_v1e_20251116_224027/walkforward/window_001_test.csv,e4195713abe5ea943cddddeef682b9a0dbedd1ce4d3a5a35a5b131b9bdeb8768,pass
2,6000,1500,2021-05-12T05:00:00+00:00,2022-04-28T14:00:00+00:00,2022-04-28T15:00:00+00:00,2022-07-26T15:00:00+00:00,20251116_224029,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_short_v1e_20251116_224027/20251116_224029/summary.json,3.948992501719816,0.002277130921553905,0.0005766359193040243,-0.00024112313474916765,1.0379045481327744,9.443850852066635,960541.309649344,14,c0abe3f552c7162000f112a4a36eac11fbc67ee68541fcfa5f815199c49a8954,results/walkforward_usdjpy_xgb_short_v1e_20251116_224027/walkforward/window_002_test.csv,e4195713abe5ea943cddddeef682b9a0dbedd1ce4d3a5a35a5b131b9bdeb8768,pass
3,6000,1500,2021-08-09T06:00:00+00:00,2022-07-26T15:00:00+00:00,2022-07-26T16:00:00+00:00,2022-10-21T16:00:00+00:00,20251116_224029,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_short_v1e_20251116_224027/20251116_224029/summary.json,2.6120236668356704,0.0028988558115650154,0.0011098122304063298,-0.00037053514248428735,0.8264039900004717,7.8234301667835515,960688.8464085936,20,f435ad47dbea23b53b9c06d3644c78a85cc96265933cee4cfb885ecc2e5d377e,results/walkforward_usdjpy_xgb_short_v1e_20251116_224027/walkforward/window_003_test.csv,e4195713abe5ea943cddddeef682b9a0dbedd1ce4d3a5a35a5b131b9bdeb8768,pass
4,6000,1500,2021-11-04T06:00:00+00:00,2022-10-21T16:00:00+00:00,2022-10-21T17:00:00+00:00,2023-01-19T08:00:00+00:00,20251116_224030,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_short_v1e_20251116_224027/20251116_224030/summary.json,4.748252643278129,0.007972500186835152,0.0016790387508384655,-0.00041121050040944014,2.9397081150180084,19.38788085152732,961890.9518392746,34,1264ca1bdd7753b4d6123bf2444cdd9bc14f76ffd216fb31ad6357409f0149d3,results/walkforward_usdjpy_xgb_short_v1e_20251116_224027/walkforward/window_004_test.csv,e4195713abe5ea943cddddeef682b9a0dbedd1ce4d3a5a35a5b131b9bdeb8768,pass
5,6000,1500,2022-01-31T21:00:00+00:00,2023-01-19T08:00:00+00:00,2023-01-19T09:00:00+00:00,2023-04-18T01:00:00+00:00,20251116_224031,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_short_v1e_20251116_224027/20251116_224031/summary.json,5.304365565496975,0.005036855073225821,0.0009495678627409816,-0.00025872706595911804,2.5456832583302362,19.467832074521745,961196.0808860186,14,2dbf8113b86c3bd46ee0397d1287e2633b63abbe35164ea469a029b3e81b4643,results/walkforward_usdjpy_xgb_short_v1e_20251116_224027/walkforward/window_005_test.csv,e4195713abe5ea943cddddeef682b9a0dbedd1ce4d3a5a35a5b131b9bdeb8768,pass
6,6000,1500,2022-04-28T15:00:00+00:00,2023-04-18T01:00:00+00:00,2023-04-18T02:00:00+00:00,2023-07-14T01:00:00+00:00,20251116_224032,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_short_v1e_20251116_224027/20251116_224032/summary.json,3.340854459102988,0.0022495182906165923,0.000673336213281372,-0.0001218462699320347,0.8194914500409204,18.461938078788652,960534.7363864102,6,05b84cc849da720ffe14305f96aa279aac18c8b6bbb4939f5b83bd3abcfb5d6c,results/walkforward_usdjpy_xgb_short_v1e_20251116_224027/walkforward/window_006_test.csv,e4195713abe5ea943cddddeef682b9a0dbedd1ce4d3a5a35a5b131b9bdeb8768,pass
7,6000,1500,2022-07-26T16:00:00+00:00,2023-07-14T01:00:00+00:00,2023-07-14T02:00:00+00:00,2023-10-11T02:00:00+00:00,20251116_224032,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_short_v1e_20251116_224027/20251116_224032/summary.json,1.3071736340252107,0.0008692123505933402,0.0006649555406933615,-0.00026369717595001185,0.20923927382439036,3.2962520264460995,960206.6971994827,8,1cd7d44b830603b63939a38118e1c4b85f5190482732cd3671534a610a2cee3d,results/walkforward_usdjpy_xgb_short_v1e_20251116_224027/walkforward/window_007_test.csv,e4195713abe5ea943cddddeef682b9a0dbedd1ce4d3a5a35a5b131b9bdeb8768,pass
8,6000,1500,2022-10-21T17:00:00+00:00,2023-10-11T02:00:00+00:00,2023-10-11T03:00:00+00:00,2024-01-09T18:00:00+00:00,20251116_224033,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_short_v1e_20251116_224027/20251116_224033/summary.json,2.5333843046492555,0.0021691662278642276,0.000856232599169176,-0.0004422972683519467,0.8001313662186548,4.904317487527798,960515.6161241774,22,2f027b342dffa045835360928a7808c4ee4f159e6c4036fb656db193bda9c4cb,results/walkforward_usdjpy_xgb_short_v1e_20251116_224027/walkforward/window_008_test.csv,e4195713abe5ea943cddddeef682b9a0dbedd1ce4d3a5a35a5b131b9bdeb8768,pass
9,6000,1500,2023-01-19T09:00:00+00:00,2024-01-09T18:00:00+00:00,2024-01-09T19:00:00+00:00,2024-04-05T09:00:00+00:00,20251116_224034,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_short_v1e_20251116_224027/20251116_224034/summary.json,2.2488623650127795,0.0013658689113507094,0.0006073599401193001,-0.00023254654571591094,0.4810263157088419,5.8735291343321645,960324.7794044686,8,75e04108b64bde7af1d7115b960f7e7bafc2919b120090a8ba81c66a8d4a74e0,results/walkforward_usdjpy_xgb_short_v1e_20251116_224027/walkforward/window_009_test.csv,e4195713abe5ea943cddddeef682b9a0dbedd1ce4d3a5a35a5b131b9bdeb8768,pass
