window,train_rows,test_rows,train_start,train_end,test_start,test_end,run_id,summary_path,sharpe,ann_return,ann_vol,max_drawdown,sortino,calmar,final_equity,trades,data_hash,data_path,param_fingerprint,status
0,6000,1500,2020-11-15T22:00:00+00:00,2021-11-04T05:00:00+00:00,2021-11-04T06:00:00+00:00,2022-01-31T20:00:00+00:00,20251116_225925,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_short_v1f_20251116_225925/20251116_225925/summary.json,3.082551308774794,0.0029281779268679475,0.0009499202555145126,-0.00026510089050454396,0.5521711744883249,11.045522786796361,960695.8471508704,10,9315be84f1524198ee52ec58de3c135658cdcad7f9ee7c9d7d4149b22c8e3db2,results/walkforward_usdjpy_xgb_short_v1f_20251116_225925/walkforward/window_000_test.csv,6369135e78de23999dfe04b0498b849db8d1f7fe5acb5d398de9fac3cf24410d,pass
1,6000,1500,2021-02-12T09:00:00+00:00,2022-01-31T20:00:00+00:00,2022-01-31T21:00:00+00:00,2022-04-28T14:00:00+00:00,20251116_225926,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_short_v1f_20251116_225925/20251116_225926/summary.json,4.11065060566084,0.003169654249640219,0.0007710833524199891,-0.00014229006795398,0.9856320325459541,22.27600489069526,960753.2083859759,10,d899d0831c1e15dd8a3784c9673f542a37004b19c95eb39103dd23d000472595,results/walkforward_usdjpy_xgb_short_v1f_20251116_225925/walkforward/window_001_test.csv,6369135e78de23999dfe04b0498b849db8d1f7fe5acb5d398de9fac3cf24410d,pass
2,6000,1500,2021-05-12T05:00:00+00:00,2022-04-28T14:00:00+00:00,2022-04-28T15:00:00+00:00,2022-07-26T15:00:00+00:00,20251116_225927,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_short_v1f_20251116_225925/20251116_225927/summary.json,3.948992501719816,0.002277130921553905,0.0005766359193040243,-0.00024112313474916765,1.0379045481327744,9.443850852066635,960541.309649344,14,c0abe3f552c7162000f112a4a36eac11fbc67ee68541fcfa5f815199c49a8954,results/walkforward_usdjpy_xgb_short_v1f_20251116_225925/walkforward/window_002_test.csv,6369135e78de23999dfe04b0498b849db8d1f7fe5acb5d398de9fac3cf24410d,pass
3,6000,1500,2021-08-09T06:00:00+00:00,2022-07-26T15:00:00+00:00,2022-07-26T16:00:00+00:00,2022-10-21T16:00:00+00:00,20251116_225927,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_short_v1f_20251116_225925/20251116_225927/summary.json,2.6120236668356704,0.0028988558115650154,0.0011098122304063298,-0.00037053514248428735,0.8264039900004717,7.8234301667835515,960688.8464085936,20,f435ad47dbea23b53b9c06d3644c78a85cc96265933cee4cfb885ecc2e5d377e,results/walkforward_usdjpy_xgb_short_v1f_20251116_225925/walkforward/window_003_test.csv,6369135e78de23999dfe04b0498b849db8d1f7fe5acb5d398de9fac3cf24410d,pass
4,6000,1500,2021-11-04T06:00:00+00:00,2022-10-21T16:00:00+00:00,2022-10-21T17:00:00+00:00,2023-01-19T08:00:00+00:00,20251116_225928,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_short_v1f_20251116_225925/20251116_225928/summary.json,4.748252643278129,0.007972500186835152,0.0016790387508384655,-0.00041121050040944014,2.9397081150180084,19.38788085152732,961890.9518392746,34,1264ca1bdd7753b4d6123bf2444cdd9bc14f76ffd216fb31ad6357409f0149d3,results/walkforward_usdjpy_xgb_short_v1f_20251116_225925/walkforward/window_004_test.csv,6369135e78de23999dfe04b0498b849db8d1f7fe5acb5d398de9fac3cf24410d,pass
5,6000,1500,2022-01-31T21:00:00+00:00,2023-01-19T08:00:00+00:00,2023-01-19T09:00:00+00:00,2023-04-18T01:00:00+00:00,20251116_225929,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_short_v1f_20251116_225925/20251116_225929/summary.json,4.265321902211299,0.005042603711074456,0.0011822328599537086,-0.00025872706595914536,2.389375051153395,19.490051001740632,961197.3845106303,14,2dbf8113b86c3bd46ee0397d1287e2633b63abbe35164ea469a029b3e81b4643,results/walkforward_usdjpy_xgb_short_v1f_20251116_225925/walkforward/window_005_test.csv,6369135e78de23999dfe04b0498b849db8d1f7fe5acb5d398de9fac3cf24410d,pass
6,6000,1500,2022-04-28T15:00:00+00:00,2023-04-18T01:00:00+00:00,2023-04-18T02:00:00+00:00,2023-07-14T01:00:00+00:00,20251116_225929,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_short_v1f_20251116_225925/20251116_225929/summary.json,4.208951798156621,0.00342514888970058,0.000813777171599038,-0.0001227131792064608,1.3675630789395075,27.911825867846535,960813.8415017626,8,05b84cc849da720ffe14305f96aa279aac18c8b6bbb4939f5b83bd3abcfb5d6c,results/walkforward_usdjpy_xgb_short_v1f_20251116_225925/walkforward/window_006_test.csv,6369135e78de23999dfe04b0498b849db8d1f7fe5acb5d398de9fac3cf24410d,pass
7,6000,1500,2022-07-26T16:00:00+00:00,2023-07-14T01:00:00+00:00,2023-07-14T02:00:00+00:00,2023-10-11T02:00:00+00:00,20251116_225930,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_short_v1f_20251116_225925/20251116_225930/summary.json,1.3071736340252107,0.0008692123505933402,0.0006649555406933615,-0.00026369717595001185,0.20923927382439036,3.2962520264460995,960206.6971994827,8,1cd7d44b830603b63939a38118e1c4b85f5190482732cd3671534a610a2cee3d,results/walkforward_usdjpy_xgb_short_v1f_20251116_225925/walkforward/window_007_test.csv,6369135e78de23999dfe04b0498b849db8d1f7fe5acb5d398de9fac3cf24410d,pass
8,6000,1500,2022-10-21T17:00:00+00:00,2023-10-11T02:00:00+00:00,2023-10-11T03:00:00+00:00,2024-01-09T18:00:00+00:00,20251116_225931,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_short_v1f_20251116_225925/20251116_225931/summary.json,-0.04288811256915833,-4.517823293215262e-05,0.0010533975553086278,-0.0005170842468512744,-0.012396033698413666,-0.08737112609262479,959989.118340965,24,2f027b342dffa045835360928a7808c4ee4f159e6c4036fb656db193bda9c4cb,results/walkforward_usdjpy_xgb_short_v1f_20251116_225925/walkforward/window_008_test.csv,6369135e78de23999dfe04b0498b849db8d1f7fe5acb5d398de9fac3cf24410d,fail
9,6000,1500,2023-01-19T09:00:00+00:00,2024-01-09T18:00:00+00:00,2024-01-09T19:00:00+00:00,2024-04-05T09:00:00+00:00,20251116_225931,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_short_v1f_20251116_225925/20251116_225931/summary.json,2.6550633411579767,0.002384347236890072,0.000898037798167996,-0.00023254654571586484,0.6983389316278167,10.253204275944688,960566.7193217897,12,75e04108b64bde7af1d7115b960f7e7bafc2919b120090a8ba81c66a8d4a74e0,results/walkforward_usdjpy_xgb_short_v1f_20251116_225925/walkforward/window_009_test.csv,6369135e78de23999dfe04b0498b849db8d1f7fe5acb5d398de9fac3cf24410d,pass
