window,train_rows,test_rows,train_start,train_end,test_start,test_end,run_id,summary_path,sharpe,ann_return,ann_vol,max_drawdown,sortino,calmar,final_equity,trades,data_hash,data_path,param_fingerprint,status
0,6000,1500,2020-11-15T22:00:00+00:00,2021-11-04T05:00:00+00:00,2021-11-04T06:00:00+00:00,2022-01-31T20:00:00+00:00,20251116_232729,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_short_v1g_20251116_232729/20251116_232729/summary.json,1.0075403965115675,0.001667340803433337,0.0016548624841308725,-0.0008698242354005189,0.49334957289675574,1.9168709442380552,960396.147018944,16,9315be84f1524198ee52ec58de3c135658cdcad7f9ee7c9d7d4149b22c8e3db2,results/walkforward_usdjpy_xgb_short_v1g_20251116_232729/walkforward/window_000_test.csv,6952b0672a8f8a80bebdebb794c3f0c934144ffa8107453ef8a61b2ab2d8b086,pass
1,6000,1500,2021-02-12T09:00:00+00:00,2022-01-31T20:00:00+00:00,2022-01-31T21:00:00+00:00,2022-04-28T14:00:00+00:00,20251116_232730,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_short_v1g_20251116_232729/20251116_232730/summary.json,7.739159330743987,0.011475217457138864,0.0014827472812910442,-0.00014662286651687592,3.3060875989952847,78.2634914303636,962718.4063866645,32,d899d0831c1e15dd8a3784c9673f542a37004b19c95eb39103dd23d000472595,results/walkforward_usdjpy_xgb_short_v1g_20251116_232729/walkforward/window_001_test.csv,6952b0672a8f8a80bebdebb794c3f0c934144ffa8107453ef8a61b2ab2d8b086,pass
2,6000,1500,2021-05-12T05:00:00+00:00,2022-04-28T14:00:00+00:00,2022-04-28T15:00:00+00:00,2022-07-26T15:00:00+00:00,20251116_232731,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_short_v1g_20251116_232729/20251116_232731/summary.json,4.531172471539988,0.008350191851783428,0.0018428324907582888,-0.0006103746680023028,1.9853000354107633,13.680436442607945,961980.2019795001,56,c0abe3f552c7162000f112a4a36eac11fbc67ee68541fcfa5f815199c49a8954,results/walkforward_usdjpy_xgb_short_v1g_20251116_232729/walkforward/window_002_test.csv,6952b0672a8f8a80bebdebb794c3f0c934144ffa8107453ef8a61b2ab2d8b086,pass
3,6000,1500,2021-08-09T06:00:00+00:00,2022-07-26T15:00:00+00:00,2022-07-26T16:00:00+00:00,2022-10-21T16:00:00+00:00,20251116_232731,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_short_v1g_20251116_232729/20251116_232731/summary.json,5.180616987789961,0.009317705980955715,0.001798570711348925,-0.00046220193045501477,2.145618747634436,20.15938352265837,962208.9101674978,50,f435ad47dbea23b53b9c06d3644c78a85cc96265933cee4cfb885ecc2e5d377e,results/walkforward_usdjpy_xgb_short_v1g_20251116_232729/walkforward/window_003_test.csv,6952b0672a8f8a80bebdebb794c3f0c934144ffa8107453ef8a61b2ab2d8b086,pass
4,6000,1500,2021-11-04T06:00:00+00:00,2022-10-21T16:00:00+00:00,2022-10-21T17:00:00+00:00,2023-01-19T08:00:00+00:00,20251116_232732,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_short_v1g_20251116_232729/20251116_232732/summary.json,5.884648777427113,0.016288836697147424,0.002768021901261069,-0.000586065186501231,4.475455096087768,27.793557905035552,963851.2758634726,82,1264ca1bdd7753b4d6123bf2444cdd9bc14f76ffd216fb31ad6357409f0149d3,results/walkforward_usdjpy_xgb_short_v1g_20251116_232729/walkforward/window_004_test.csv,6952b0672a8f8a80bebdebb794c3f0c934144ffa8107453ef8a61b2ab2d8b086,pass
5,6000,1500,2022-01-31T21:00:00+00:00,2023-01-19T08:00:00+00:00,2023-01-19T09:00:00+00:00,2023-04-18T01:00:00+00:00,20251116_232733,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_short_v1g_20251116_232729/20251116_232733/summary.json,9.228761161762835,0.020311405435918806,0.00220088103699923,-0.00029459308420909174,6.461994592972648,68.94732607335239,964795.7620354781,56,2dbf8113b86c3bd46ee0397d1287e2633b63abbe35164ea469a029b3e81b4643,results/walkforward_usdjpy_xgb_short_v1g_20251116_232729/walkforward/window_005_test.csv,6952b0672a8f8a80bebdebb794c3f0c934144ffa8107453ef8a61b2ab2d8b086,pass
6,6000,1500,2022-04-28T15:00:00+00:00,2023-04-18T01:00:00+00:00,2023-04-18T02:00:00+00:00,2023-07-14T01:00:00+00:00,20251116_232734,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_short_v1g_20251116_232729/20251116_232734/summary.json,7.9240614151942665,0.010621490986121085,0.0013404099778624302,-0.0002794822700202497,3.6716658620924405,38.004167439142066,962516.9934932541,32,05b84cc849da720ffe14305f96aa279aac18c8b6bbb4939f5b83bd3abcfb5d6c,results/walkforward_usdjpy_xgb_short_v1g_20251116_232729/walkforward/window_006_test.csv,6952b0672a8f8a80bebdebb794c3f0c934144ffa8107453ef8a61b2ab2d8b086,pass
7,6000,1500,2022-07-26T16:00:00+00:00,2023-07-14T01:00:00+00:00,2023-07-14T02:00:00+00:00,2023-10-11T02:00:00+00:00,20251116_232734,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_short_v1g_20251116_232729/20251116_232734/summary.json,3.977227015624647,0.005406321251847368,0.001359319251983476,-0.0005727652337911384,1.417999695467583,9.438982907644162,961283.5340622253,30,1cd7d44b830603b63939a38118e1c4b85f5190482732cd3671534a610a2cee3d,results/walkforward_usdjpy_xgb_short_v1g_20251116_232729/walkforward/window_007_test.csv,6952b0672a8f8a80bebdebb794c3f0c934144ffa8107453ef8a61b2ab2d8b086,pass
8,6000,1500,2022-10-21T17:00:00+00:00,2023-10-11T02:00:00+00:00,2023-10-11T03:00:00+00:00,2024-01-09T18:00:00+00:00,20251116_232735,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_short_v1g_20251116_232729/20251116_232735/summary.json,-0.03415318094707291,-5.0505866863281845e-05,0.0014788041834683172,-0.0009627536023784244,-0.014903379562456263,-0.052459805643427525,959987.7225979391,42,2f027b342dffa045835360928a7808c4ee4f159e6c4036fb656db193bda9c4cb,results/walkforward_usdjpy_xgb_short_v1g_20251116_232729/walkforward/window_008_test.csv,6952b0672a8f8a80bebdebb794c3f0c934144ffa8107453ef8a61b2ab2d8b086,fail
9,6000,1500,2023-01-19T09:00:00+00:00,2024-01-09T18:00:00+00:00,2024-01-09T19:00:00+00:00,2024-04-05T09:00:00+00:00,20251116_232736,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_short_v1g_20251116_232729/20251116_232736/summary.json,-0.25181077346768826,-0.0002951085026167144,0.0011719454992047112,-0.001030742436039759,-0.05893801212693541,-0.28630673609457474,959929.6118374579,28,75e04108b64bde7af1d7115b960f7e7bafc2919b120090a8ba81c66a8d4a74e0,results/walkforward_usdjpy_xgb_short_v1g_20251116_232729/walkforward/window_009_test.csv,6952b0672a8f8a80bebdebb794c3f0c934144ffa8107453ef8a61b2ab2d8b086,fail
