window,train_rows,test_rows,train_start,train_end,test_start,test_end,run_id,summary_path,sharpe,ann_return,ann_vol,max_drawdown,sortino,calmar,final_equity,trades,data_hash,data_path,param_fingerprint,status
0,6000,1500,2020-11-15T22:00:00+00:00,2021-11-04T05:00:00+00:00,2021-11-04T06:00:00+00:00,2022-01-31T20:00:00+00:00,20251117_093324,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_short_v1h_20251117_093324/20251117_093324/summary.json,-1.4398169093400606,-0.011398442497643546,0.00791659163307647,-0.003558165343141734,-1.249069373616366,-3.2034606035421405,957268.7611296658,344,9315be84f1524198ee52ec58de3c135658cdcad7f9ee7c9d7d4149b22c8e3db2,results/walkforward_usdjpy_xgb_short_v1h_20251117_093324/walkforward/window_000_test.csv,077cb1474550ae322768b44c759fa7653b8afa6bf365e2befdba6306b209978f,fail
1,6000,1500,2021-02-12T09:00:00+00:00,2022-01-31T20:00:00+00:00,2022-01-31T21:00:00+00:00,2022-04-28T14:00:00+00:00,20251117_093325,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_short_v1h_20251117_093324/20251117_093325/summary.json,3.710519284244465,0.03256536393621934,0.008776497692519146,-0.002440993279343831,3.458317858042936,13.34102974055435,967646.1283236017,348,d899d0831c1e15dd8a3784c9673f542a37004b19c95eb39103dd23d000472595,results/walkforward_usdjpy_xgb_short_v1h_20251117_093324/walkforward/window_001_test.csv,077cb1474550ae322768b44c759fa7653b8afa6bf365e2befdba6306b209978f,pass
2,6000,1500,2021-05-12T05:00:00+00:00,2022-04-28T14:00:00+00:00,2022-04-28T15:00:00+00:00,2022-07-26T15:00:00+00:00,20251117_093326,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_short_v1h_20251117_093324/20251117_093326/summary.json,1.6762837079961772,0.013562167142050274,0.00809061561438334,-0.003062156057007088,1.60936913910282,4.428960147545766,963202.7969961951,286,c0abe3f552c7162000f112a4a36eac11fbc67ee68541fcfa5f815199c49a8954,results/walkforward_usdjpy_xgb_short_v1h_20251117_093324/walkforward/window_002_test.csv,077cb1474550ae322768b44c759fa7653b8afa6bf365e2befdba6306b209978f,pass
3,6000,1500,2021-08-09T06:00:00+00:00,2022-07-26T15:00:00+00:00,2022-07-26T16:00:00+00:00,2022-10-21T16:00:00+00:00,20251117_093327,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_short_v1h_20251117_093324/20251117_093327/summary.json,1.6821482750616141,0.013602056248736005,0.008086122044287556,-0.0032025905899049924,1.6992431927837308,4.247204213867225,963212.2013446963,272,f435ad47dbea23b53b9c06d3644c78a85cc96265933cee4cfb885ecc2e5d377e,results/walkforward_usdjpy_xgb_short_v1h_20251117_093324/walkforward/window_003_test.csv,077cb1474550ae322768b44c759fa7653b8afa6bf365e2befdba6306b209978f,pass
4,6000,1500,2021-11-04T06:00:00+00:00,2022-10-21T16:00:00+00:00,2022-10-21T17:00:00+00:00,2023-01-19T08:00:00+00:00,20251117_093327,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_short_v1h_20251117_093324/20251117_093327/summary.json,4.746027315523309,0.04008549837066,0.008446116236952184,-0.002028662221464398,5.1926900808756695,19.759572562910016,969388.7325354983,256,1264ca1bdd7753b4d6123bf2444cdd9bc14f76ffd216fb31ad6357409f0149d3,results/walkforward_usdjpy_xgb_short_v1h_20251117_093324/walkforward/window_004_test.csv,077cb1474550ae322768b44c759fa7653b8afa6bf365e2befdba6306b209978f,pass
5,6000,1500,2022-01-31T21:00:00+00:00,2023-01-19T08:00:00+00:00,2023-01-19T09:00:00+00:00,2023-04-18T01:00:00+00:00,20251117_093328,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_short_v1h_20251117_093324/20251117_093328/summary.json,6.9736189051350665,0.06123580388132854,0.008781065428774317,-0.0021479250730818606,8.048577660777783,28.509283051231815,974236.9070013721,244,2dbf8113b86c3bd46ee0397d1287e2633b63abbe35164ea469a029b3e81b4643,results/walkforward_usdjpy_xgb_short_v1h_20251117_093324/walkforward/window_005_test.csv,077cb1474550ae322768b44c759fa7653b8afa6bf365e2befdba6306b209978f,pass
6,6000,1500,2022-04-28T15:00:00+00:00,2023-04-18T01:00:00+00:00,2023-04-18T02:00:00+00:00,2023-07-14T01:00:00+00:00,20251117_093328,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_short_v1h_20251117_093324/20251117_093328/summary.json,3.322084975727839,0.026946396126915628,0.008111290446750814,-0.002386897541817819,3.2582153582309554,11.2892973639722,966339.6884493486,344,05b84cc849da720ffe14305f96aa279aac18c8b6bbb4939f5b83bd3abcfb5d6c,results/walkforward_usdjpy_xgb_short_v1h_20251117_093324/walkforward/window_006_test.csv,077cb1474550ae322768b44c759fa7653b8afa6bf365e2befdba6306b209978f,pass
7,6000,1500,2022-07-26T16:00:00+00:00,2023-07-14T01:00:00+00:00,2023-07-14T02:00:00+00:00,2023-10-11T02:00:00+00:00,20251117_093329,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_short_v1h_20251117_093324/20251117_093329/summary.json,3.445200839495508,0.02502104423868734,0.007262579281836949,-0.001689116478022559,3.479330775071357,14.813095819170128,965891.8956139132,382,1cd7d44b830603b63939a38118e1c4b85f5190482732cd3671534a610a2cee3d,results/walkforward_usdjpy_xgb_short_v1h_20251117_093324/walkforward/window_007_test.csv,077cb1474550ae322768b44c759fa7653b8afa6bf365e2befdba6306b209978f,pass
8,6000,1500,2022-10-21T17:00:00+00:00,2023-10-11T02:00:00+00:00,2023-10-11T03:00:00+00:00,2024-01-09T18:00:00+00:00,20251117_093330,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_short_v1h_20251117_093324/20251117_093330/summary.json,0.07167253835208982,0.0004977849605782847,0.006945267630022068,-0.0039320690772503795,0.06524185030014146,0.12659618913062845,960112.6835019696,320,2f027b342dffa045835360928a7808c4ee4f159e6c4036fb656db193bda9c4cb,results/walkforward_usdjpy_xgb_short_v1h_20251117_093324/walkforward/window_008_test.csv,077cb1474550ae322768b44c759fa7653b8afa6bf365e2befdba6306b209978f,fail
9,6000,1500,2023-01-19T09:00:00+00:00,2024-01-09T18:00:00+00:00,2024-01-09T19:00:00+00:00,2024-04-05T09:00:00+00:00,20251117_093330,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_short_v1h_20251117_093324/20251117_093330/summary.json,-1.9640895283537594,-0.012773852566252186,0.006503701782351461,-0.005668946070054891,-1.6961478880578504,-2.253302890589767,956940.9106807855,262,75e04108b64bde7af1d7115b960f7e7bafc2919b120090a8ba81c66a8d4a74e0,results/walkforward_usdjpy_xgb_short_v1h_20251117_093324/walkforward/window_009_test.csv,077cb1474550ae322768b44c759fa7653b8afa6bf365e2befdba6306b209978f,fail
