window,train_rows,test_rows,train_start,train_end,test_start,test_end,run_id,summary_path,sharpe,ann_return,ann_vol,max_drawdown,sortino,calmar,final_equity,trades,data_hash,data_path,param_fingerprint,status
0,6000,1500,2020-11-15T22:00:00+00:00,2021-11-04T05:00:00+00:00,2021-11-04T06:00:00+00:00,2022-01-31T20:00:00+00:00,20251117_100405,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_short_v1k_20251117_100405/20251117_100405/summary.json,-1.2788500492372838,-0.0056146305367617,0.0043903744149756336,-0.0034527093350058425,-0.7312139404355412,-1.6261521002758257,958658.9559454181,106,9315be84f1524198ee52ec58de3c135658cdcad7f9ee7c9d7d4149b22c8e3db2,results/walkforward_usdjpy_xgb_short_v1k_20251117_100405/walkforward/window_000_test.csv,fd09565783163140773812fff82763ef7ada6e1395608f5787ea10a8189fa573,fail
1,6000,1500,2021-02-12T09:00:00+00:00,2022-01-31T20:00:00+00:00,2022-01-31T21:00:00+00:00,2022-04-28T14:00:00+00:00,20251117_100406,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_short_v1k_20251117_100405/20251117_100406/summary.json,6.015210230829128,0.02599740779309445,0.004321945001997213,-0.0008003118426361091,3.3847259740557036,32.48409733318806,966123.9221156911,126,d899d0831c1e15dd8a3784c9673f542a37004b19c95eb39103dd23d000472595,results/walkforward_usdjpy_xgb_short_v1k_20251117_100405/walkforward/window_001_test.csv,fd09565783163140773812fff82763ef7ada6e1395608f5787ea10a8189fa573,pass
2,6000,1500,2021-05-12T05:00:00+00:00,2022-04-28T14:00:00+00:00,2022-04-28T15:00:00+00:00,2022-07-26T15:00:00+00:00,20251117_100406,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_short_v1k_20251117_100405/20251117_100406/summary.json,6.1847198876304885,0.031432659068579616,0.005082309245960403,-0.001753284469426129,4.913564456415833,17.927871726866947,967389.0623232885,192,c0abe3f552c7162000f112a4a36eac11fbc67ee68541fcfa5f815199c49a8954,results/walkforward_usdjpy_xgb_short_v1k_20251117_100405/walkforward/window_002_test.csv,fd09565783163140773812fff82763ef7ada6e1395608f5787ea10a8189fa573,pass
3,6000,1500,2021-08-09T06:00:00+00:00,2022-07-26T15:00:00+00:00,2022-07-26T16:00:00+00:00,2022-10-21T16:00:00+00:00,20251117_100407,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_short_v1k_20251117_100405/20251117_100407/summary.json,4.299505016147114,0.01741426330287421,0.004050294914757313,-0.0011436999189561204,2.80869542447275,15.226252108829899,964114.6670766933,128,f435ad47dbea23b53b9c06d3644c78a85cc96265933cee4cfb885ecc2e5d377e,results/walkforward_usdjpy_xgb_short_v1k_20251117_100405/walkforward/window_003_test.csv,fd09565783163140773812fff82763ef7ada6e1395608f5787ea10a8189fa573,pass
4,6000,1500,2021-11-04T06:00:00+00:00,2022-10-21T16:00:00+00:00,2022-10-21T17:00:00+00:00,2023-01-19T08:00:00+00:00,20251117_100407,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_short_v1k_20251117_100405/20251117_100407/summary.json,2.653951264274084,0.014740591912496548,0.005554205953562766,-0.0019296333054502728,2.310922776453741,7.639063790442239,963484.3667882499,162,1264ca1bdd7753b4d6123bf2444cdd9bc14f76ffd216fb31ad6357409f0149d3,results/walkforward_usdjpy_xgb_short_v1k_20251117_100405/walkforward/window_004_test.csv,fd09565783163140773812fff82763ef7ada6e1395608f5787ea10a8189fa573,pass
5,6000,1500,2022-01-31T21:00:00+00:00,2023-01-19T08:00:00+00:00,2023-01-19T09:00:00+00:00,2023-04-18T01:00:00+00:00,20251117_100408,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_short_v1k_20251117_100405/20251117_100408/summary.json,6.534549178911303,0.03656215703234822,0.005595207263929369,-0.0011372411214961332,5.686482814761945,32.149872477568984,968578.5903204193,188,2dbf8113b86c3bd46ee0397d1287e2633b63abbe35164ea469a029b3e81b4643,results/walkforward_usdjpy_xgb_short_v1k_20251117_100405/walkforward/window_005_test.csv,fd09565783163140773812fff82763ef7ada6e1395608f5787ea10a8189fa573,pass
6,6000,1500,2022-04-28T15:00:00+00:00,2023-04-18T01:00:00+00:00,2023-04-18T02:00:00+00:00,2023-07-14T01:00:00+00:00,20251117_100409,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_short_v1k_20251117_100405/20251117_100409/summary.json,9.300275349662675,0.03856594060889296,0.004146752559352101,-0.001162359787397581,6.3876218977630765,33.179004493297754,969044.0129466709,136,05b84cc849da720ffe14305f96aa279aac18c8b6bbb4939f5b83bd3abcfb5d6c,results/walkforward_usdjpy_xgb_short_v1k_20251117_100405/walkforward/window_006_test.csv,fd09565783163140773812fff82763ef7ada6e1395608f5787ea10a8189fa573,pass
7,6000,1500,2022-07-26T16:00:00+00:00,2023-07-14T01:00:00+00:00,2023-07-14T02:00:00+00:00,2023-10-11T02:00:00+00:00,20251117_100409,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_short_v1k_20251117_100405/20251117_100409/summary.json,3.293036665939401,0.011291600357716591,0.0034289324727258845,-0.0013459373609841742,1.6759850139602661,8.389395142029466,962673.9479470974,106,1cd7d44b830603b63939a38118e1c4b85f5190482732cd3671534a610a2cee3d,results/walkforward_usdjpy_xgb_short_v1k_20251117_100405/walkforward/window_007_test.csv,fd09565783163140773812fff82763ef7ada6e1395608f5787ea10a8189fa573,pass
8,6000,1500,2022-10-21T17:00:00+00:00,2023-10-11T02:00:00+00:00,2023-10-11T03:00:00+00:00,2024-01-09T18:00:00+00:00,20251117_100410,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_short_v1k_20251117_100405/20251117_100410/summary.json,0.4873352971573467,0.002074111294876557,0.004256025178095987,-0.001537310256787673,0.32298525118733623,1.3491819791865378,960490.9677377008,158,2f027b342dffa045835360928a7808c4ee4f159e6c4036fb656db193bda9c4cb,results/walkforward_usdjpy_xgb_short_v1k_20251117_100405/walkforward/window_008_test.csv,fd09565783163140773812fff82763ef7ada6e1395608f5787ea10a8189fa573,fail
9,6000,1500,2023-01-19T09:00:00+00:00,2024-01-09T18:00:00+00:00,2024-01-09T19:00:00+00:00,2024-04-05T09:00:00+00:00,20251117_100410,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_short_v1k_20251117_100405/20251117_100410/summary.json,-0.4185896163417806,-0.0011776451102541996,0.0028133643651892365,-0.0016425409973616538,-0.1704431814138621,-0.7169654286534112,959718.7302670972,90,75e04108b64bde7af1d7115b960f7e7bafc2919b120090a8ba81c66a8d4a74e0,results/walkforward_usdjpy_xgb_short_v1k_20251117_100405/walkforward/window_009_test.csv,fd09565783163140773812fff82763ef7ada6e1395608f5787ea10a8189fa573,fail
