window,train_rows,test_rows,train_start,train_end,test_start,test_end,run_id,summary_path,sharpe,ann_return,ann_vol,max_drawdown,sortino,calmar,final_equity,trades,data_hash,data_path,param_fingerprint,status
0,6000,1500,2020-11-15T22:00:00+00:00,2021-11-04T05:00:00+00:00,2021-11-04T06:00:00+00:00,2022-01-31T20:00:00+00:00,20251116_134927,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_v2_20251116_134927/20251116_134927/summary.json,3.337432961375421,0.1430780321992584,0.04287068350289595,-0.013392512277607913,1.335453035748397,10.683434835335772,992125.3213114814,32,9315be84f1524198ee52ec58de3c135658cdcad7f9ee7c9d7d4149b22c8e3db2,results/walkforward_usdjpy_xgb_v2_20251116_134927/walkforward/window_000_test.csv,45c8b3c11c6c0e5c947ce2b41a3012f493b8d28a95a2adb258f60c6362e38807,pass
1,6000,1500,2021-02-12T09:00:00+00:00,2022-01-31T20:00:00+00:00,2022-01-31T21:00:00+00:00,2022-04-28T14:00:00+00:00,20251116_134928,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_v2_20251116_134927/20251116_134928/summary.json,6.613231396253113,0.346613295657191,0.05241209249892166,-0.00922182920472339,2.8957682965790106,37.58617601371937,1033134.2730364159,20,d899d0831c1e15dd8a3784c9673f542a37004b19c95eb39103dd23d000472595,results/walkforward_usdjpy_xgb_v2_20251116_134927/walkforward/window_001_test.csv,45c8b3c11c6c0e5c947ce2b41a3012f493b8d28a95a2adb258f60c6362e38807,pass
2,6000,1500,2021-05-12T05:00:00+00:00,2022-04-28T14:00:00+00:00,2022-04-28T15:00:00+00:00,2022-07-26T15:00:00+00:00,20251116_134929,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_v2_20251116_134927/20251116_134929/summary.json,6.208654782607804,0.23181901459863474,0.03733804225160421,-0.008213344466663284,2.260944090687053,28.224679427430917,1010737.7829809557,12,c0abe3f552c7162000f112a4a36eac11fbc67ee68541fcfa5f815199c49a8954,results/walkforward_usdjpy_xgb_v2_20251116_134927/walkforward/window_002_test.csv,45c8b3c11c6c0e5c947ce2b41a3012f493b8d28a95a2adb258f60c6362e38807,pass
3,6000,1500,2021-08-09T06:00:00+00:00,2022-07-26T15:00:00+00:00,2022-07-26T16:00:00+00:00,2022-10-21T16:00:00+00:00,20251116_134930,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_v2_20251116_134927/20251116_134930/summary.json,5.260599143519905,0.4000560552460708,0.07604762201637556,-0.010973628379546596,2.67451426440182,36.456132958878285,1042760.7489077923,22,f435ad47dbea23b53b9c06d3644c78a85cc96265933cee4cfb885ecc2e5d377e,results/walkforward_usdjpy_xgb_v2_20251116_134927/walkforward/window_003_test.csv,45c8b3c11c6c0e5c947ce2b41a3012f493b8d28a95a2adb258f60c6362e38807,pass
4,6000,1500,2021-11-04T06:00:00+00:00,2022-10-21T16:00:00+00:00,2022-10-21T17:00:00+00:00,2023-01-19T08:00:00+00:00,20251116_134931,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_v2_20251116_134927/20251116_134931/summary.json,6.7236159799344986,0.5165471073173935,0.07682578970288331,-0.015418225542897698,2.6997919449196526,33.50237067684728,1063603.6167159306,24,1264ca1bdd7753b4d6123bf2444cdd9bc14f76ffd216fb31ad6357409f0149d3,results/walkforward_usdjpy_xgb_v2_20251116_134927/walkforward/window_004_test.csv,45c8b3c11c6c0e5c947ce2b41a3012f493b8d28a95a2adb258f60c6362e38807,pass
5,6000,1500,2022-01-31T21:00:00+00:00,2023-01-19T08:00:00+00:00,2023-01-19T09:00:00+00:00,2023-04-18T01:00:00+00:00,20251116_134932,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_v2_20251116_134927/20251116_134932/summary.json,4.736236753539018,0.23817982343273547,0.05028883390484278,-0.01965681719725958,1.2947784308822927,12.116906874727455,1011887.0181683172,14,2dbf8113b86c3bd46ee0397d1287e2633b63abbe35164ea469a029b3e81b4643,results/walkforward_usdjpy_xgb_v2_20251116_134927/walkforward/window_005_test.csv,45c8b3c11c6c0e5c947ce2b41a3012f493b8d28a95a2adb258f60c6362e38807,pass
6,6000,1500,2022-04-28T15:00:00+00:00,2023-04-18T01:00:00+00:00,2023-04-18T02:00:00+00:00,2023-07-14T01:00:00+00:00,20251116_134932,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_v2_20251116_134927/20251116_134932/summary.json,1.0443966987674067,0.039693404102697505,0.038006060484051245,-0.014471192721540708,0.28552165616982533,2.742925539483207,969133.3452773038,14,05b84cc849da720ffe14305f96aa279aac18c8b6bbb4939f5b83bd3abcfb5d6c,results/walkforward_usdjpy_xgb_v2_20251116_134927/walkforward/window_006_test.csv,45c8b3c11c6c0e5c947ce2b41a3012f493b8d28a95a2adb258f60c6362e38807,pass
7,6000,1500,2022-07-26T16:00:00+00:00,2023-07-14T01:00:00+00:00,2023-07-14T02:00:00+00:00,2023-10-11T02:00:00+00:00,20251116_134933,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_v2_20251116_134927/20251116_134933/summary.json,4.760246419269336,0.25914169144665955,0.054438713592149704,-0.010395224530315234,1.902008066130213,24.92891718605342,1016051.6075752862,20,1cd7d44b830603b63939a38118e1c4b85f5190482732cd3671534a610a2cee3d,results/walkforward_usdjpy_xgb_v2_20251116_134927/walkforward/window_007_test.csv,45c8b3c11c6c0e5c947ce2b41a3012f493b8d28a95a2adb258f60c6362e38807,pass
8,6000,1500,2022-10-21T17:00:00+00:00,2023-10-11T02:00:00+00:00,2023-10-11T03:00:00+00:00,2024-01-09T18:00:00+00:00,20251116_134933,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_v2_20251116_134927/20251116_134933/summary.json,0.5053390847245464,0.029162151549977144,0.05770808637505854,-0.02459472111929881,0.20151177924434208,1.1857077544617651,966464.9478409368,40,2f027b342dffa045835360928a7808c4ee4f159e6c4036fb656db193bda9c4cb,results/walkforward_usdjpy_xgb_v2_20251116_134927/walkforward/window_008_test.csv,45c8b3c11c6c0e5c947ce2b41a3012f493b8d28a95a2adb258f60c6362e38807,fail
9,6000,1500,2023-01-19T09:00:00+00:00,2024-01-09T18:00:00+00:00,2024-01-09T19:00:00+00:00,2024-04-05T09:00:00+00:00,20251116_134934,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_v2_20251116_134927/20251116_134934/summary.json,-0.802625965770911,-0.03614215579254709,0.04502988606633609,-0.030514205917194826,-0.24329193537426724,-1.1844370419018804,951042.3681171957,24,75e04108b64bde7af1d7115b960f7e7bafc2919b120090a8ba81c66a8d4a74e0,results/walkforward_usdjpy_xgb_v2_20251116_134927/walkforward/window_009_test.csv,45c8b3c11c6c0e5c947ce2b41a3012f493b8d28a95a2adb258f60c6362e38807,fail
