window,train_rows,test_rows,train_start,train_end,test_start,test_end,run_id,summary_path,sharpe,ann_return,ann_vol,max_drawdown,sortino,calmar,final_equity,trades,data_hash,data_path,param_fingerprint,status
0,6000,1500,2020-11-15T22:00:00+00:00,2021-11-04T05:00:00+00:00,2021-11-04T06:00:00+00:00,2022-01-31T20:00:00+00:00,20251116_180153,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_v2_balanced_full_20251116_180153/20251116_180153/summary.json,2.537794067210964,0.00472781061272487,0.0018629607003222033,-0.0006793099056279031,1.003066392190698,6.959725706273687,961122.5110419407,34,9315be84f1524198ee52ec58de3c135658cdcad7f9ee7c9d7d4149b22c8e3db2,results/walkforward_usdjpy_xgb_v2_balanced_full_20251116_180153/walkforward/window_000_test.csv,9ebbbf40be1f8113eff84560ec601c879e0ff05cf38d77fc405dd9eb8a4b4ce5,pass
1,6000,1500,2021-02-12T09:00:00+00:00,2022-01-31T20:00:00+00:00,2022-01-31T21:00:00+00:00,2022-04-28T14:00:00+00:00,20251116_180153,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_v2_balanced_full_20251116_180153/20251116_180153/summary.json,5.311024398564694,0.006321871919449773,0.0011903300465270431,-0.0002253183137043859,2.080411361603135,28.05751479102569,961500.4723262996,20,d899d0831c1e15dd8a3784c9673f542a37004b19c95eb39103dd23d000472595,results/walkforward_usdjpy_xgb_v2_balanced_full_20251116_180153/walkforward/window_001_test.csv,9ebbbf40be1f8113eff84560ec601c879e0ff05cf38d77fc405dd9eb8a4b4ce5,pass
2,6000,1500,2021-05-12T05:00:00+00:00,2022-04-28T14:00:00+00:00,2022-04-28T15:00:00+00:00,2022-07-26T15:00:00+00:00,20251116_180154,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_v2_balanced_full_20251116_180153/20251116_180154/summary.json,5.070834596017221,0.004233427151210778,0.0008348580635100646,-0.00016185839358282434,1.7275556434717458,26.15512892165519,961005.6041956694,14,c0abe3f552c7162000f112a4a36eac11fbc67ee68541fcfa5f815199c49a8954,results/walkforward_usdjpy_xgb_v2_balanced_full_20251116_180153/walkforward/window_002_test.csv,9ebbbf40be1f8113eff84560ec601c879e0ff05cf38d77fc405dd9eb8a4b4ce5,pass
3,6000,1500,2021-08-09T06:00:00+00:00,2022-07-26T15:00:00+00:00,2022-07-26T16:00:00+00:00,2022-10-21T16:00:00+00:00,20251116_180154,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_v2_balanced_full_20251116_180153/20251116_180154/summary.json,4.290664483927549,0.005214183929161509,0.0012152392592553862,-0.00020692646275380234,1.988442357789625,25.198246081098183,961238.0435036186,22,f435ad47dbea23b53b9c06d3644c78a85cc96265933cee4cfb885ecc2e5d377e,results/walkforward_usdjpy_xgb_v2_balanced_full_20251116_180153/walkforward/window_003_test.csv,9ebbbf40be1f8113eff84560ec601c879e0ff05cf38d77fc405dd9eb8a4b4ce5,pass
4,6000,1500,2021-11-04T06:00:00+00:00,2022-10-21T16:00:00+00:00,2022-10-21T17:00:00+00:00,2023-01-19T08:00:00+00:00,20251116_180155,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_v2_balanced_full_20251116_180153/20251116_180155/summary.json,4.7027143965218645,0.005626714739990879,0.001196482343080925,-0.00032583329956742304,1.7977835694060047,17.26869152864645,961335.8067128387,24,1264ca1bdd7753b4d6123bf2444cdd9bc14f76ffd216fb31ad6357409f0149d3,results/walkforward_usdjpy_xgb_v2_balanced_full_20251116_180153/walkforward/window_004_test.csv,9ebbbf40be1f8113eff84560ec601c879e0ff05cf38d77fc405dd9eb8a4b4ce5,pass
5,6000,1500,2022-01-31T21:00:00+00:00,2023-01-19T08:00:00+00:00,2023-01-19T09:00:00+00:00,2023-04-18T01:00:00+00:00,20251116_180155,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_v2_balanced_full_20251116_180153/20251116_180155/summary.json,5.0136789265043955,0.004038190602664082,0.0008054346243267642,-0.00026595346518422364,1.5622096552388252,15.183823981638529,960959.3000231179,14,2dbf8113b86c3bd46ee0397d1287e2633b63abbe35164ea469a029b3e81b4643,results/walkforward_usdjpy_xgb_v2_balanced_full_20251116_180153/walkforward/window_005_test.csv,9ebbbf40be1f8113eff84560ec601c879e0ff05cf38d77fc405dd9eb8a4b4ce5,pass
6,6000,1500,2022-04-28T15:00:00+00:00,2023-04-18T01:00:00+00:00,2023-04-18T02:00:00+00:00,2023-07-14T01:00:00+00:00,20251116_180156,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_v2_balanced_full_20251116_180153/20251116_180156/summary.json,1.39811599847712,0.001295332645110614,0.0009264843879345765,-0.0002825018489726904,0.45187347993454874,4.585218290857397,960307.9548213974,14,05b84cc849da720ffe14305f96aa279aac18c8b6bbb4939f5b83bd3abcfb5d6c,results/walkforward_usdjpy_xgb_v2_balanced_full_20251116_180153/walkforward/window_006_test.csv,9ebbbf40be1f8113eff84560ec601c879e0ff05cf38d77fc405dd9eb8a4b4ce5,pass
7,6000,1500,2022-07-26T16:00:00+00:00,2023-07-14T01:00:00+00:00,2023-07-14T02:00:00+00:00,2023-10-11T02:00:00+00:00,20251116_180156,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_v2_balanced_full_20251116_180153/20251116_180156/summary.json,2.618109164942374,0.0029204776505116214,0.0011154911680605582,-0.00036378234004638986,0.7871383348691675,8.028090781260023,960693.9783006449,20,1cd7d44b830603b63939a38118e1c4b85f5190482732cd3671534a610a2cee3d,results/walkforward_usdjpy_xgb_v2_balanced_full_20251116_180153/walkforward/window_007_test.csv,9ebbbf40be1f8113eff84560ec601c879e0ff05cf38d77fc405dd9eb8a4b4ce5,pass
8,6000,1500,2022-10-21T17:00:00+00:00,2023-10-11T02:00:00+00:00,2023-10-11T03:00:00+00:00,2024-01-09T18:00:00+00:00,20251116_180157,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_v2_balanced_full_20251116_180153/20251116_180157/summary.json,0.7913888236933889,0.001056434977645404,0.001334912682636902,-0.0006249108864218568,0.3209289615212909,1.6905370039148901,960251.0527281987,40,2f027b342dffa045835360928a7808c4ee4f159e6c4036fb656db193bda9c4cb,results/walkforward_usdjpy_xgb_v2_balanced_full_20251116_180153/walkforward/window_008_test.csv,9ebbbf40be1f8113eff84560ec601c879e0ff05cf38d77fc405dd9eb8a4b4ce5,fail
9,6000,1500,2023-01-19T09:00:00+00:00,2024-01-09T18:00:00+00:00,2024-01-09T19:00:00+00:00,2024-04-05T09:00:00+00:00,20251116_180157,/Users/chuan/Documents/Projects/FX_Backtest/QuantResearch/results/walkforward_usdjpy_xgb_v2_balanced_full_20251116_180153/20251116_180157/summary.json,-1.3294476838780318,-0.001586660820219521,0.0011934736804318558,-0.0008621322382775617,-0.3888674291342735,-1.840391473342282,959622.0807163918,26,75e04108b64bde7af1d7115b960f7e7bafc2919b120090a8ba81c66a8d4a74e0,results/walkforward_usdjpy_xgb_v2_balanced_full_20251116_180153/walkforward/window_009_test.csv,9ebbbf40be1f8113eff84560ec601c879e0ff05cf38d77fc405dd9eb8a4b4ce5,fail
